Participant,Posture,tCount,Direction,MaxViewingRange,StartVector,EndVector,StartRotation
6,Lying,1,135,59.39357,(0.07* 0.99* 0.08),(0.18* 0.43* 0.89),(272.69* 107.13* 36.36)
6,Lying,2,135,57.30293,(0.08* 0.99* 0.11),(0.17* 0.43* 0.89),(272.69* 107.13* 36.36)
6,Lying,3,135,52.93239,(0.08* 0.99* 0.12),(0.16* 0.49* 0.85),(272.69* 107.13* 36.36)
6,Lying,1,270,72.30267,(0.08* 0.99* 0.09),(0.64* 0.32* -0.70),(272.69* 107.13* 36.36)
6,Lying,2,270,70.59766,(0.07* 0.99* 0.11),(0.62* 0.36* -0.69),(272.69* 107.13* 36.36)
6,Lying,3,270,69.66792,(0.07* 0.99* 0.11),(0.62* 0.38* -0.68),(272.69* 107.13* 36.36)
6,Lying,1,45,60.37413,(0.09* 0.99* 0.08),(-0.81* 0.55* 0.21),(272.69* 107.13* 36.36)
6,Lying,2,45,55.6582,(0.05* 0.99* 0.10),(-0.78* 0.58* 0.21),(272.69* 107.13* 36.36)
6,Lying,3,45,57.18783,(0.04* 0.99* 0.12),(-0.80* 0.56* 0.22),(272.69* 107.13* 36.36)
6,Lying,1,0,72.20729,(0.07* 0.99* 0.12),(-0.76* 0.42* -0.50),(272.69* 107.13* 36.36)
6,Lying,2,0,67.15697,(0.06* 1.00* 0.07),(-0.75* 0.47* -0.48),(272.69* 107.13* 36.36)
6,Lying,3,0,68.85347,(0.05* 0.99* 0.09),(-0.74* 0.44* -0.50),(272.69* 107.13* 36.36)
6,Lying,1,90,51.72081,(0.04* 0.99* 0.11),(-0.40* 0.56* 0.72),(272.69* 107.13* 36.36)
6,Lying,2,90,47.87442,(0.06* 0.99* 0.10),(-0.38* 0.63* 0.68),(272.69* 107.13* 36.36)
6,Lying,3,90,50.1632,(0.07* 1.00* 0.07),(-0.38* 0.62* 0.68),(272.69* 107.13* 36.36)
6,Lying,1,225,272.1249,(0.05* 0.99* 0.12),(1.00* -0.01* -0.03),(272.69* 107.13* 36.36)
6,Lying,2,225,276.9255,(0.11* 0.99* 0.09),(1.00* 0.02* -0.04),(272.69* 107.13* 36.36)
6,Lying,3,225,275.7413,(0.06* 0.99* 0.10),(1.00* 0.05* -0.03),(272.69* 107.13* 36.36)
6,Lying,1,180,291.2386,(0.07* 0.99* 0.10),(0.74* 0.25* 0.62),(272.69* 107.13* 36.36)
6,Lying,2,180,294.8737,(0.07* 0.99* 0.14),(0.73* 0.28* 0.62),(272.69* 107.13* 36.36)
6,Lying,3,180,294.3785,(0.09* 0.99* 0.12),(0.74* 0.28* 0.62),(272.69* 107.13* 36.36)
6,Lying,1,315,280.0017,(0.08* 0.99* 0.12),(-0.11* 0.30* -0.95),(272.69* 107.13* 36.36)
6,Lying,2,315,282.7696,(0.07* 0.99* 0.08),(-0.10* 0.30* -0.95),(272.69* 107.13* 36.36)
6,Lying,3,315,277.1324,(0.06* 0.99* 0.10),(-0.11* 0.22* -0.97),(272.69* 107.13* 36.36)
