Participant,Posture,Direction-1,Direction-2,Direction-3,Direction-4,Direction-5,Direction-6,Direction-7,Direction-8
1,Lying,315,0,45,90,135,180,225,270
1,Standing,315,0,45,90,135,180,225,270
2,Standing,270,315,0,45,90,135,180,225
2,Lying,270,315,0,45,90,135,180,225
3,Lying,135,180,225,270,315,0,45,90
3,Standing,135,180,225,270,315,0,45,90
4,Standing,225,270,315,0,45,90,135,180
4,Lying,225,270,315,0,45,90,135,180
5,Standing,315,0,45,90,135,180,225,270
5,Lying,315,0,45,90,135,180,225,270
6,Standing,135,180,225,270,315,0,45,90
6,Lying,135,180,225,270,315,0,45,90
7,Lying,225,270,315,0,45,90,135,180
7,Standing,225,270,315,0,45,90,135,180
8,Lying,90,135,180,225,270,315,0,45
8,Standing,90,135,180,225,270,315,0,45
9,Lying,0,45,90,135,180,225,270,315
9,Standing,0,45,90,135,180,225,270,315
10,Standing,90,135,180,225,270,315,0,45
10,Lying,90,135,180,225,270,315,0,45
11,Standing,0,45,90,135,180,225,270,315
11,Lying,0,45,90,135,180,225,270,315
12,Lying,180,225,270,315,0,45,90,135
12,Standing,180,225,270,315,0,45,90,135
13,Lying,45,90,135,180,225,270,315,0
13,Standing,45,90,135,180,225,270,315,0
14,Standing,45,90,135,180,225,270,315,0
14,Lying,45,90,135,180,225,270,315,0
15,Lying,270,315,0,45,90,135,180,225
15,Standing,270,315,0,45,90,135,180,225
16,Standing,180,225,270,315,0,45,90,135
16,Lying,180,225,270,315,0,45,90,135
