Participant,Posture,Direction-1,Direction-2,Direction-3,Direction-4
1,Lying,270,90,0,180
1,Sitting,0,270,180,90
1,Standing,90,180,270,0
2,Sitting,90,0,270,180
2,Lying,90,180,270,0
2,Standing,90,0,180,270
3,Sitting,0,180,90,270
3,Lying,0,270,180,90
3,Standing,270,0,90,180
4,Standing,90,0,270,180
4,Sitting,90,270,0,180
4,Lying,0,180,270,90
5,Lying,90,180,270,0
5,Standing,90,0,180,270
5,Sitting,180,0,90,270
6,Standing,0,180,90,270
6,Sitting,270,0,90,180
6,Lying,0,270,90,180
7,Lying,90,270,180,0
7,Standing,270,90,0,180
7,Sitting,270,180,0,90
8,Standing,90,0,180,270
8,Sitting,90,180,270,0
8,Lying,180,90,270,0
9,Sitting,90,270,0,180
9,Standing,90,180,0,270
9,Lying,180,0,270,90
10,Sitting,180,90,270,0
10,Lying,0,270,180,90
10,Standing,0,90,270,180
11,Sitting,270,180,0,90
11,Standing,0,90,270,180
11,Lying,0,90,180,270
12,Standing,180,270,90,0
12,Lying,180,90,0,270
12,Sitting,90,180,0,270
13,Sitting,0,90,180,270
13,Standing,0,180,270,90
13,Lying,90,0,270,180
14,Standing,90,180,270,0
14,Lying,0,180,90,270
14,Sitting,90,0,270,180
15,Lying,180,270,0,90
15,Sitting,270,0,90,180
15,Standing,90,270,0,180
16,Lying,270,0,180,90
16,Sitting,180,0,90,270
16,Standing,90,270,0,180
17,Standing,0,90,180,270
17,Lying,90,180,270,0
17,Sitting,270,0,180,90
18,Lying,90,180,0,270
18,Standing,180,90,270,0
18,Sitting,0,180,270,90
