Participant,Posture,Direction,Count,time,HeadRotationAngle,TrunkRotationAngle
10,Lying,180,1,1.359062,0,0
10,Lying,180,1,1.383173,0,0
10,Lying,180,1,1.41053,0,0
10,Lying,180,1,1.43872,0,0
10,Lying,180,1,1.466377,0,0
10,Lying,180,1,1.496264,0,0
10,Lying,180,1,1.52304,0,0
10,Lying,180,1,1.549317,0,0
10,Lying,180,1,1.578225,0,0
10,Lying,180,1,1.605762,0,0
10,Lying,180,1,1.633476,0,0
10,Lying,180,1,1.660471,0,0
10,Lying,180,1,1.688083,0,0
10,Lying,180,1,1.717568,0,0
10,Lying,180,1,1.746031,0,0
10,Lying,180,1,1.772909,0,0
10,Lying,180,1,1.800323,0,0
10,Lying,180,1,1.827669,1.077018,0
10,Lying,180,1,1.856464,3.162112,0
10,Lying,180,1,1.884116,5.295019,0
10,Lying,180,1,1.912402,7.268738,0
10,Lying,180,1,1.940517,9.234419,0
10,Lying,180,1,1.96609,11.42767,0
10,Lying,180,1,1.988764,12.85518,0
10,Lying,180,1,2.009765,14.88431,0
10,Lying,180,1,2.035891,16.67476,0
10,Lying,180,1,2.062948,18.26781,0
10,Lying,180,1,2.090417,20.2237,0
10,Lying,180,1,2.119875,22.60755,0
10,Lying,180,1,2.146877,24.8068,0
10,Lying,180,1,2.174805,27.00617,0
10,Lying,180,1,2.202212,29.60553,0
10,Lying,180,1,2.229765,31.60227,0
10,Lying,180,1,2.258402,33.00054,0
10,Lying,180,1,2.285645,34,0
10,Lying,180,1,2.313185,35.4,0
10,Lying,180,1,2.34123,37.00047,0
10,Lying,180,1,2.368129,38.80173,0
10,Lying,180,1,2.396744,40.00373,0
10,Lying,180,1,2.423995,41.40633,0
10,Lying,180,1,2.452277,42.00968,0
10,Lying,180,1,2.479771,42.20962,0
10,Lying,180,1,2.507565,42.20962,0
10,Lying,180,1,2.536728,43.20928,0
10,Lying,180,1,2.563524,44.60884,0
10,Lying,180,1,2.590424,44.80878,0
10,Lying,180,1,2.61956,44.80878,0
10,Lying,180,1,2.647442,44.80878,0
10,Lying,180,1,2.67504,45.20865,0
10,Lying,180,1,2.702697,46.00842,0
10,Lying,180,1,2.729345,46.80819,0
10,Lying,180,1,2.758648,47.00814,0
10,Lying,180,1,2.785563,47.00814,0
10,Lying,180,1,2.816846,47.40513,0
10,Lying,180,2,4.646183,0,0
10,Lying,180,2,4.67434,0,0
10,Lying,180,2,4.702192,0,0
10,Lying,180,2,4.729265,0,0
10,Lying,180,2,4.757755,0,0
10,Lying,180,2,4.785514,0,0
10,Lying,180,2,4.813748,0,0
10,Lying,180,2,4.84136,0,0
10,Lying,180,2,4.868046,0,0
10,Lying,180,2,4.896143,0,0
10,Lying,180,2,4.927498,0,0
10,Lying,180,2,4.952577,0,0
10,Lying,180,2,4.98084,0,0
10,Lying,180,2,5.007605,0,0
10,Lying,180,2,5.035067,0.5990517,0
10,Lying,180,2,5.063502,3.618986,0
10,Lying,180,2,5.090758,7.019985,0
10,Lying,180,2,5.11882,11.23689,0
10,Lying,180,2,5.146549,14.65857,0
10,Lying,180,2,5.174733,17.04773,0
10,Lying,180,2,5.201805,18.64185,0
10,Lying,180,2,5.22945,20.835,0
10,Lying,180,2,5.257643,23.8273,0
10,Lying,180,2,5.286274,26.82088,0
10,Lying,180,2,5.313109,29.00625,0
10,Lying,180,2,5.343395,31.19415,0
10,Lying,180,2,5.368883,34.19053,0
10,Lying,180,2,5.396633,37.39494,0
10,Lying,180,2,5.42448,39.80083,0
10,Lying,180,2,5.451468,42.19786,0
10,Lying,180,2,5.480311,45.3941,0
10,Lying,180,3,7.175921,0,0
10,Lying,180,3,7.202937,0,0
10,Lying,180,3,7.229721,0,0
10,Lying,180,3,7.259412,0,0
10,Lying,180,3,7.288159,0,0
10,Lying,180,3,7.314331,0,0
10,Lying,180,3,7.341307,0,0
10,Lying,180,3,7.371847,0,0
10,Lying,180,3,7.396335,0,0
10,Lying,180,3,7.424537,0,0
10,Lying,180,3,7.454811,0,0
10,Lying,180,3,7.48033,1.199915,0
10,Lying,180,3,7.507363,4.199972,0
10,Lying,180,3,7.536799,8.009792,0
10,Lying,180,3,7.565187,11.40671,0
10,Lying,180,3,7.591577,13.80542,0
10,Lying,180,3,7.620525,15.40478,0
10,Lying,180,3,7.646858,16.40444,0
10,Lying,180,3,7.676864,17.2042,0
10,Lying,180,3,7.703587,18.60379,0
10,Lying,180,3,7.729407,20.80328,0
10,Lying,180,3,7.758244,23.80272,0
10,Lying,180,3,7.787696,26.80227,0
10,Lying,180,3,7.814269,29.20908,0
10,Lying,180,3,7.841539,31.20824,0
10,Lying,180,3,7.870597,33.60735,0
10,Lying,180,3,7.898155,36.8063,0
10,Lying,180,3,7.925268,39.60905,0
10,Lying,180,3,7.952404,41.6123,0
10,Lying,180,3,7.980547,43.21144,0
10,Lying,180,3,8.008989,44.61074,0
10,Lying,180,3,8.036377,46.80969,0
10,Lying,0,1,10.25809,0,0
10,Lying,0,1,10.28697,0,0
10,Lying,0,1,10.31582,0,0
10,Lying,0,1,10.34191,0,0
10,Lying,0,1,10.3695,0,0
10,Lying,0,1,10.39638,0,0
10,Lying,0,1,10.42453,0,0
10,Lying,0,1,10.45181,0,0
10,Lying,0,1,10.47984,0,0
10,Lying,0,1,10.50761,0,0
10,Lying,0,1,10.53503,0,0
10,Lying,0,1,10.56321,0,0
10,Lying,0,1,10.59086,0,0
10,Lying,0,1,10.62145,0,0
10,Lying,0,1,10.64622,0,0
10,Lying,0,1,10.6766,0,0
10,Lying,0,1,10.70268,0,0
10,Lying,0,1,10.72944,0,0
10,Lying,0,1,10.75811,0.7999081,0
10,Lying,0,1,10.78525,3.206134,0
10,Lying,0,1,10.8133,7.20266,0
10,Lying,0,1,10.84224,10.80168,0
10,Lying,0,1,10.86823,13.60127,0
10,Lying,0,1,10.8965,15.40107,0
10,Lying,0,1,10.92393,17.00092,0
10,Lying,0,1,10.95153,18.40081,0
10,Lying,0,1,10.97997,20.40069,0
10,Lying,0,1,11.00773,22.80055,0
10,Lying,0,1,11.03503,24.99937,0
10,Lying,0,1,11.064,26.79969,0
10,Lying,0,1,11.09184,28.59957,0
10,Lying,0,1,11.11866,29.99948,0
10,Lying,0,1,11.14634,31.79937,0
10,Lying,0,1,11.17544,33.59926,0
10,Lying,0,1,11.20225,35.59914,0
10,Lying,0,1,11.22916,37.39904,0
10,Lying,0,1,11.25844,38.39898,0
10,Lying,0,1,11.28544,39.79889,0
10,Lying,0,1,11.31331,41.99878,0
10,Lying,0,1,11.34233,43.59868,0
10,Lying,0,1,11.36825,44.39864,0
10,Lying,0,1,11.39638,44.79863,0
10,Lying,0,1,11.4247,44.79863,0
10,Lying,0,1,11.45296,44.79863,0
10,Lying,0,1,11.48049,44.79863,0
10,Lying,0,1,11.50741,44.99861,0
10,Lying,0,1,11.53641,45.19861,0
10,Lying,0,1,11.56268,45.19861,0
10,Lying,0,1,11.5915,45.59858,0
10,Lying,0,2,12.99353,0,0
10,Lying,0,2,13.02127,0,0
10,Lying,0,2,13.04844,0,0
10,Lying,0,2,13.07635,0,0
10,Lying,0,2,13.10413,0,0
10,Lying,0,2,13.13297,0,0
10,Lying,0,2,13.16012,0,0
10,Lying,0,2,13.18922,0,0
10,Lying,0,2,13.2155,0.199792,0
10,Lying,0,2,13.24348,1.199915,0
10,Lying,0,2,13.27098,3.206195,0
10,Lying,0,2,13.29894,6.013271,0
10,Lying,0,2,13.32651,9.208654,0
10,Lying,0,2,13.35465,12.81396,0
10,Lying,0,2,13.38198,15.62026,0
10,Lying,0,2,13.40939,18.41712,0
10,Lying,0,2,13.43759,21.81436,0
10,Lying,0,2,13.46602,25.61213,0
10,Lying,0,2,13.49288,28.41085,0
10,Lying,0,2,13.52239,30.80994,0
10,Lying,0,2,13.54845,32.80928,0
10,Lying,0,2,13.57916,36.40471,0
10,Lying,0,2,13.60569,39.20434,0
10,Lying,0,2,13.63342,42.20038,0
10,Lying,0,2,13.66073,44.60035,0
10,Lying,0,2,13.6884,46.20033,0
10,Lying,0,2,13.71569,47.00032,0
10,Lying,0,2,13.74379,47.40032,0
10,Lying,0,2,13.77075,48.20031,0
10,Lying,0,2,13.79963,49.2003,0
10,Lying,0,3,15.28487,0,0
10,Lying,0,3,15.31274,0,0
10,Lying,0,3,15.34036,0,0
10,Lying,0,3,15.36796,0,0
10,Lying,0,3,15.396,0,0
10,Lying,0,3,15.4244,0,0
10,Lying,0,3,15.45338,0,0
10,Lying,0,3,15.48004,0.1988102,0
10,Lying,0,3,15.50683,1.599855,0
10,Lying,0,3,15.53519,6.599835,0
10,Lying,0,3,15.56295,13.40586,0
10,Lying,0,3,15.59019,19.01668,0
10,Lying,0,3,15.61834,22.03217,0
10,Lying,0,3,15.64645,24.23952,0
10,Lying,0,3,15.67357,27.43468,0
10,Lying,0,3,15.70282,31.62977,0
10,Lying,0,3,15.73042,35.03453,0
10,Lying,0,3,15.75753,37.63185,0
10,Lying,0,3,15.78477,39.82983,0
10,Lying,0,3,15.81333,42.02802,0
10,Lying,0,3,15.84042,44.02053,0
10,Lying,0,3,15.86822,46.01451,0
10,Lying,0,3,15.8959,48.00972,0
10,Lying,90,0,15.92428,51.40899,0
10,Lying,90,1,17.75776,0,0
10,Lying,90,1,17.78627,0,0
10,Lying,90,1,17.81328,0,0
10,Lying,90,1,17.84128,0,0
10,Lying,90,1,17.869,0,0
10,Lying,90,1,17.89797,0,0
10,Lying,90,1,17.92455,0,0
10,Lying,90,1,17.952,0,0
10,Lying,90,1,17.97975,0,0
10,Lying,90,1,18.00752,0,0
10,Lying,90,1,18.03564,0,0
10,Lying,90,1,18.06712,0,0
10,Lying,90,1,18.09131,0,0
10,Lying,90,1,18.11906,0.1988102,0
10,Lying,90,1,18.14612,2.039608,0
10,Lying,90,1,18.17439,4.019903,0
10,Lying,90,1,18.20293,5.015947,0
10,Lying,90,1,18.22935,5.813689,0
10,Lying,90,1,18.25717,7.211018,0
10,Lying,90,1,18.28567,8.620721,0
10,Lying,90,1,18.3063,9.234419,0
10,Lying,90,1,18.32841,10.44744,0
10,Lying,90,1,18.35583,12.63897,0
10,Lying,90,1,18.38295,14.83298,0
10,Lying,90,1,18.40964,17.24054,0
10,Lying,90,1,18.43835,19.06477,0
10,Lying,90,1,18.46665,19.89671,0
10,Lying,90,1,18.49399,22.14553,0
10,Lying,90,1,18.52248,24.74898,0
10,Lying,90,1,18.54857,26.33867,0
10,Lying,90,1,18.57676,27.3328,0
10,Lying,90,2,19.91067,0,0
10,Lying,90,2,19.93766,0,0
10,Lying,90,2,19.9656,0,0
10,Lying,90,2,19.99336,0,0
10,Lying,90,2,20.02305,0,0
10,Lying,90,2,20.04872,0,0
10,Lying,90,2,20.07678,0,0
10,Lying,90,2,20.10465,0,0
10,Lying,90,2,20.13245,0,0
10,Lying,90,2,20.16094,0,0
10,Lying,90,2,20.18746,0,0
10,Lying,90,2,20.21696,1.414162,0
10,Lying,90,2,20.24643,4.019903,0
10,Lying,90,2,20.2741,5.813756,0
10,Lying,90,2,20.30309,7.211045,0
10,Lying,90,2,20.32811,8.809014,0
10,Lying,90,2,20.35618,11.21589,0
10,Lying,90,2,20.38359,13.43673,0
10,Lying,90,2,20.41101,16.04396,0
10,Lying,90,2,20.4393,19.23626,0
