time,Status,HeadPolar,HeadAzimuth,ShoulderPolar,ShoulderAzimuth,LeftGazePolar,LeftGazeAzimuth,RightGazePolar,RightGazeAzimuth
15.0101,not-testing,-10.16536,61.10888,-9.110762,4.139679,-8.418171,47.66079,-13.02713,47.79677
15.12105,not-testing,-10.16469,60.94389,-9.072766,4.357003,-8.184683,49.37706,-12.95265,49.52635
15.23203,not-testing,-11.43707,61.25316,-8.987517,4.500409,-9.41584,48.89409,-14.13812,48.96933
15.34407,not-testing,-12.30516,61.53023,-8.861559,4.533717,-9.608356,49.11608,-14.35128,49.16882
15.45579,not-testing,-12.31164,61.56595,-8.694113,4.689293,-9.251282,49.03344,-13.98633,49.09656
15.56634,not-testing,-12.53508,61.31954,-8.662588,4.645343,-9.84201,49.05599,-14.57845,49.08055
15.67818,not-testing,-10.67105,61.20951,-8.640162,4.29954,-0.9518205,53.35345,-6.111933,53.77495
15.78938,not-testing,-8.825407,60.96178,-8.48818,4.318277,-0.7264144,53.43196,-5.896155,53.8819
15.90028,not-testing,-6.901852,60.68689,-8.551044,4.288335,1.279146,53.22823,-3.843625,53.77391
16.01208,not-testing,-4.991161,60.58668,-8.496195,4.345372,-0.2312192,52.63135,-5.302266,53.13049
16.12358,not-testing,-4.557656,60.80597,-8.091463,4.581264,-0.8838863,53.45922,-6.062091,53.93203
16.23512,not-testing,-4.81285,60.52628,-7.743455,4.577373,-3.892848,47.45351,-8.467931,47.80074
16.34645,not-testing,-5.448885,60.62547,-7.626024,4.537348,1.350113,49.46925,-3.362835,50.01979
16.45776,not-testing,-4.979136,60.83487,-7.495585,4.606985,1.105115,49.7421,-3.634962,50.30022
16.56915,not-testing,-3.815565,60.67687,-7.393252,4.717069,-10.81876,49.21126,-15.55854,49.30534
16.68077,not-testing,-3.748582,60.58306,-7.418454,4.734177,-10.83394,49.28268,-15.58037,49.38254
16.79182,not-testing,-4.508182,60.28775,-7.413512,4.76838,0.6896061,48.93946,-3.974328,49.49971
16.90357,not-testing,-4.818011,60.51675,-7.498271,4.633017,0.9515353,48.95034,-3.712563,49.50718
17.0144,not-testing,-5.472253,60.647,-7.381793,4.626498,0.2582448,62.19907,-6.362766,62.70586
17.12619,not-testing,-5.332445,60.48909,-7.387061,4.650671,0.788298,62.68389,-5.936817,63.21161
17.23729,not-testing,-4.968789,60.49489,-7.300976,4.858679,1.84443,61.94634,-4.69683,62.53618
17.38577,Direction 180 / Range P50,-4.964604,60.48596,-7.322263,4.940556,0.7038671,61.43095,-5.742193,61.97365
17.48804,Direction 180 / Range P50,-5.523876,60.53801,-7.394417,4.962369,-1.638912,61.79663,-8.190166,62.2238
17.59603,Direction 180 / Range P50,-5.505934,60.52751,-7.369765,5.000865,-0.9167905,60.90852,-7.274778,61.37432
17.70854,Direction 180 / Range P50,-5.511316,60.43632,-7.438091,4.999753,-11.14562,49.12544,-15.88002,49.19134
17.82058,Direction 180 / Range P50,-6.854852,60.57848,-7.537976,4.9287,-12.57026,48.01844,-17.19785,48.00782
17.93201,Direction 180 / Range P50,-11.48887,60.48687,-7.544354,5.038711,-16.1673,48.67267,-20.83074,48.44915
18.04348,Direction 180 / Range P50,-19.54108,60.23389,-7.612543,5.033531,-21.32653,49.23947,-25.96675,48.6892
18.15575,Direction 180 / Range P50,-28.86092,59.19785,-7.719861,4.762306,-25.37721,47.1924,-29.74127,46.36861
18.26796,Direction 180 / Range P50,-37.94351,57.76094,-7.78331,4.55739,-31.40587,46.59673,-35.5641,45.46383
18.37751,Direction 180 / Range P50,-42.38616,56.57828,-7.737845,4.353173,-34.31571,45.33434,-38.29498,44.06154
18.48861,Direction 180 / Range P50,-44.78719,56.05937,-7.73706,4.386101,-37.5167,45.3592,-41.39339,43.94317
18.60007,Direction 180 / Range P50,-46.35715,55.16541,-7.657436,4.482661,-37.35135,44.70766,-41.16417,43.26008
18.71119,Direction 180 / Range P50,-47.7635,54.43314,-7.586872,4.509224,-39.38995,43.9271,-43.08001,42.38815
18.82324,Direction 180 / Range P50,-47.94714,54.15021,-7.606325,4.408818,-38.5609,43.22439,-42.21976,41.6971
18.9345,Direction 180 / Range P50,-47.95913,54.11154,-7.528824,4.478816,-31.83242,46.33658,-35.85057,45.02922
19.04607,Direction 180 / Range P50,-47.39186,54.42508,-7.546828,4.511127,-31.20268,45.48898,-35.18262,44.21023
19.15715,Direction 180 / Range P50,-47.11296,54.44501,-7.506192,4.542426,-31.36434,44.98344,-35.30917,43.70078
19.268,Direction 180 / Range P50,-47.22501,54.48944,-7.552704,4.489071,-32.19871,45.78095,-36.18143,44.47249
19.38008,Direction 180 / Range P50,-47.21482,54.42341,-7.501619,4.54341,-31.73933,45.07017,-35.68124,43.77356
19.49129,Direction 180 / Range P50,-47.06699,54.44318,-7.439252,4.600648,-32.05627,45.6829,-36.03399,44.37706
19.60294,Direction 180 / Range P50,-47.09436,54.41909,-7.521616,4.539111,-31.75007,45.57034,-35.72411,44.27148
19.71508,Direction 180 / Range P50,-47.15158,54.39006,-7.54505,4.498156,-31.78184,45.97608,-35.78097,44.67354
19.82593,Direction 180 / Range P50,-47.22168,54.39627,-7.547266,4.452903,-31.07477,45.83798,-35.07675,44.55668
19.9379,Direction 180 / Range P50,-47.13253,54.46173,-7.640354,4.324671,-28.77848,47.34414,-32.9347,46.14719
20.04862,Direction 180 / Range P50,-47.0783,54.48134,-7.617204,4.375413,-29.09282,47.08385,-33.22292,45.87334
20.16037,Direction 180 / Range P50,-47.19138,54.50119,-7.592997,4.354996,-28.50994,47.35638,-32.67014,46.16624
20.27121,Direction 180 / Range P50,-47.25602,54.49802,-7.598138,4.324054,-27.76509,47.0094,-31.90988,45.84173
20.38324,Direction 180 / Range P50,-47.25409,54.45836,-7.588626,4.340297,-26.94546,46.42882,-31.05994,45.28754
20.49429,Direction 180 / Range P50,-47.1755,54.47092,-7.582157,4.372183,-26.75381,46.71831,-30.89462,45.58777
20.60599,Direction 180 / Range P50,-47.25622,54.45835,-7.58124,4.376435,-27.73159,47.27969,-31.89672,46.11344
20.7177,Direction 180 / Range P50,-47.23663,54.42205,-7.598875,4.343672,-26.97781,46.98847,-31.13306,45.84794
20.82864,Direction 180 / Range P50,-47.16267,54.47106,-7.596272,4.333733,-28.62872,48.3194,-32.86135,47.12684
