time,Status,HeadPolar,HeadAzimuth,ShoulderPolar,ShoulderAzimuth,LeftGazePolar,LeftGazeAzimuth,RightGazePolar,RightGazeAzimuth
10.24427,not-testing,50.89882,79.63958,-87.64165,0.5078432,57.99054,66.37277,50.46275,67.26936
10.35408,not-testing,50.63898,79.69285,-87.91355,0.4631653,57.65356,66.78378,49.98288,67.66101
10.46546,not-testing,50.98117,79.61217,-88.45766,0.6107688,56.86948,66.0399,49.40767,66.88285
10.57709,not-testing,52.16489,79.40731,-89.25311,0.7058599,50.4452,64.52039,43.27071,65.06013
10.68868,not-testing,52.45351,79.65295,-89.48377,0.1152237,45.91723,62.67509,39.15464,62.99917
10.80034,not-testing,50.72217,79.60047,-89.93701,-0.4922612,46.83899,63.82689,39.80441,64.19143
10.91169,not-testing,49.28892,79.38029,92.51079,-0.6554905,58.24988,72.93621,47.82993,73.79757
11.02308,not-testing,48.81863,78.42677,92.39133,-1.073545,54.20801,69.70232,45.34124,70.39343
11.13475,not-testing,41.56853,74.28954,92.39918,-0.9324969,49.22357,66.32462,41.51945,66.81331
11.24621,not-testing,32.0783,71.32484,92.94925,-1.173874,43.08359,64.82934,35.78151,65.03193
11.35736,not-testing,28.36346,71.93147,-89.16216,-1.375088,31.98942,73.91081,21.03742,73.46899
11.46826,not-testing,34.70128,72.42109,-89.24287,-1.731558,36.22979,72.12563,26.17315,71.95292
11.58032,not-testing,42.5244,73.86282,92.97525,-1.683519,50.37833,74.33774,38.83494,74.82954
11.69173,not-testing,49.73155,75.13895,-87.97069,-2.365922,72.16728,73.32645,62.44231,74.91107
11.80543,not-testing,53.28762,75.49804,-89.75822,-1.00579,71.20648,73.81202,61.07713,75.353
11.91416,not-testing,55.19749,75.17823,-89.96133,-1.080132,66.57435,72.77818,56.75108,74.12434
12.02532,not-testing,55.12178,74.78812,93.04124,-1.192994,64.80547,71.98239,55.3334,73.26165
12.13724,not-testing,53.27904,74.32831,-89.95901,-1.116188,62.91683,72.16323,53.24579,73.35869
12.24826,not-testing,50.64555,74.62444,-89.86193,-0.9717367,60.5651,71.0484,51.36022,72.13627
12.36024,not-testing,48.33206,74.93463,-89.83882,-0.9815616,55.37383,66.73112,47.69131,67.57835
12.47148,not-testing,49.73681,74.96044,-89.77913,-1.067465,61.04752,71.04482,51.86489,72.14997
12.64444,Direction 135 / Range P50,51.45998,74.80434,-89.68017,-0.8982545,61.70503,70.93181,52.61567,72.0787
12.74656,Direction 135 / Range P50,51.04798,74.88111,-89.72431,-0.9271054,61.50029,70.74036,52.49267,71.87748
12.85782,Direction 135 / Range P50,50.68103,74.97907,-89.76778,-0.9461574,61.7029,71.53653,52.3059,72.67384
12.97041,Direction 135 / Range P50,50.56485,75.2568,-89.70364,-0.8610375,40.22633,78.27187,25.04962,78.15298
13.08226,Direction 135 / Range P50,48.11838,77.32326,93.03552,-0.9018288,28.91902,79.82587,12.479,79.07954
13.19389,Direction 135 / Range P50,38.49646,79.19209,92.93297,-1.009006,-34.39013,80.67382,-39.53423,77.77863
13.30534,Direction 135 / Range P50,20.72499,80.43453,92.7607,-1.33152,-34.04399,78.41479,-38.50797,75.52646
13.41674,Direction 135 / Range P50,-0.6823134,81.97672,-89.87694,-1.5554,-42.25755,76.69745,-44.82689,73.71043
13.52806,Direction 135 / Range P50,-19.67087,83.19237,-89.88969,-1.801447,-56.12652,75.25639,-56.2174,72.20786
13.63989,Direction 135 / Range P50,-35.36535,81.65884,-89.23587,-1.928527,-51.48468,73.95542,-52.38058,70.9085
13.75072,Direction 135 / Range P50,-43.18164,76.83863,-89.09229,-2.295982,-64.32995,69.38561,-63.31644,66.34538
13.86282,Direction 135 / Range P50,-49.61695,74.39426,-89.41458,-2.208335,-79.46173,73.08877,-76.07802,70.17517
13.97561,Direction 135 / Range P50,-55.83675,75.72208,-89.0519,-2.500576,-78.79598,75.08322,-75.24808,72.14558
14.08577,Direction 135 / Range P50,-55.79873,77.49702,-88.6901,-2.617792,-74.88124,75.49252,-71.85735,72.50671
14.1966,Direction 135 / Range P50,-55.03414,77.58531,-89.48888,-2.157366,-67.05492,75.13085,-65.41164,72.06931
14.30771,Direction 135 / Range P50,-55.49504,76.83456,-89.42072,-2.170448,-64.78733,73.86894,-63.61647,70.79527
14.41961,Direction 135 / Range P50,-56.90321,75.91973,-89.16458,-2.366774,-70.2667,72.78393,-68.32699,69.75237
14.53064,Direction 135 / Range P50,-58.73546,76.08073,-89.12006,-2.366833,-73.2176,74.60921,-70.64021,71.60033
14.64276,Direction 135 / Range P50,-58.77623,76.30416,-89.12312,-2.348159,-71.09667,75.26924,-68.7574,72.23779
14.75365,Direction 135 / Range P50,-57.76049,76.15211,-89.13422,-2.315873,-71.74857,74.44336,-69.4211,71.41968
14.86506,Direction 135 / Range P50,-58.11555,76.14756,-89.1547,-2.338703,-65.55797,75.01777,-64.18366,71.94233
14.97665,Direction 135 / Range P50,-57.59631,76.2885,-89.22861,-2.288652,-65.16405,75.61215,-63.81634,72.53325
15.08785,Direction 135 / Range P50,-57.74794,76.32877,-89.31709,-2.213515,-68.72849,76.59583,-66.64278,73.53988
15.19957,Direction 135 / Range P50,-57.71246,76.33194,-89.33514,-2.198739,-65.45037,75.56964,-64.04777,72.49281
15.31079,Direction 135 / Range P50,-57.35455,76.36462,-89.32465,-2.213786,-49.30573,75.60779,-50.72184,72.5313
15.4223,Direction 135 / Range P50,-57.39434,76.43242,-89.33009,-2.200111,-56.14799,75.4878,-56.365,72.38835
15.53392,Direction 135 / Range P50,-57.45358,76.51896,-89.34322,-2.198669,-53.25286,74.70037,-53.93654,71.60888
15.64524,Direction 135 / Range P50,-57.12907,76.61185,-89.31795,-2.243635,-61.49079,75.37644,-60.78381,72.28323
15.75693,Direction 135 / Range P50,-57.19241,76.60702,-89.30129,-2.214091,-62.31033,75.35741,-61.45771,72.26706
