time,Status,HeadPolar,HeadAzimuth,ShoulderPolar,ShoulderAzimuth,LeftGazePolar,LeftGazeAzimuth,RightGazePolar,RightGazeAzimuth
2.722618,not-testing,-54.83904,7.553405,-5.000915,-1.583686,-52.28003,-1.327748,-55.38285,-1.300927
2.832954,not-testing,-54.79897,7.481316,-5.049335,-0.8675119,-52.76748,-4.475196,-55.87934,-4.448054
2.94466,not-testing,-54.79322,7.4867,-5.090506,-0.6697436,-52.09962,-4.796303,-55.21237,-4.775554
3.056026,not-testing,-54.92054,7.654527,-5.086451,-0.6763986,-51.4028,4.019762,-54.51111,4.050217
3.167446,not-testing,-54.95726,7.715737,-5.071217,-0.6665879,-51.7715,4.807964,-54.88369,4.84246
3.278999,not-testing,-54.33004,7.721567,-5.072602,-0.6836506,-51.20835,8.08895,-54.34083,8.141276
3.389972,not-testing,-53.27336,7.965781,-4.827752,-2.48965,-50.64817,7.615115,-53.77763,7.670656
3.501975,not-testing,-52.21239,8.38411,-4.655516,-2.883027,-49.85739,8.340835,-52.99268,8.398078
3.61306,not-testing,-52.35795,8.15619,-4.161607,-0.4220916,-50.77281,7.684928,-53.90342,7.739742
3.724903,not-testing,-52.85749,8.222425,-4.158349,-0.1042169,-50.14579,8.684169,-53.28346,8.748242
3.836432,not-testing,-52.81508,8.464787,-4.182704,-0.1006003,-49.33049,8.551373,-52.46587,8.61597
3.995574,Direction 225 / Range P75,-52.83798,8.417913,-4.192425,-0.1766291,-48.63052,7.236907,-51.7542,7.303094
4.098647,Direction 225 / Range P75,-53.06073,8.216219,-4.223522,-0.2143366,-49.10336,8.544894,-52.23773,8.60827
4.208482,Direction 225 / Range P75,-53.15191,8.086941,-4.222239,-0.09450793,-49.08241,8.392944,-52.21528,8.455126
4.321847,Direction 225 / Range P75,-54.03402,7.702269,-4.341356,-0.2647104,-54.99076,4.397192,-58.09992,4.43166
4.432832,Direction 225 / Range P75,-56.56937,5.538819,-4.403434,-0.1809492,-65.75419,-8.624775,-68.8384,-8.500728
4.544823,Direction 225 / Range P75,-60.23523,1.265134,-4.424021,-0.3703592,-68.13062,-13.51171,-71.27808,-13.37412
4.656515,Direction 225 / Range P75,-65.13057,-0.1852928,-5.012262,-1.398985,-72.06664,-11.26167,-75.19556,-11.14987
4.767914,Direction 225 / Range P75,-71.23163,-2.443882,-6.228247,-2.079935,-74.45879,-13.40437,-77.63657,-13.30675
4.879424,Direction 225 / Range P75,-76.78206,-9.235565,-9.001654,-1.804373,-82.07012,-18.50469,-85.31489,-18.31951
4.990775,Direction 225 / Range P75,-81.13474,-15.40807,-9.505485,-0.8210927,-81.92284,-21.68736,-85.25414,-21.53357
5.1024,Direction 225 / Range P75,-84.34988,-17.74439,-10.37347,-1.160269,-85.04937,-22.31163,-88.39667,-22.17971
5.213737,Direction 225 / Range P75,-87.29354,-19.30497,-12.33993,-2.614586,-86.95745,-23.26974,92.81208,-23.13328
5.325509,Direction 225 / Range P75,-88.56099,-21.48976,-12.60548,-3.168044,-87.99428,-26.90486,91.67571,-26.73817
5.427948,Direction 225 / Range P75,-89.18109,-24.80362,-12.55076,-3.002904,-86.77638,-28.60004,92.83743,-28.45979
5.530882,Direction 225 / Range P75,-89.34051,-25.45736,-12.37911,-3.00334,-87.25277,-26.36279,92.43193,-26.21712
5.644613,Direction 225 / Range P75,-88.95657,-25.22805,-12.8401,-1.751278,-87.33105,-26.14637,92.36053,-25.99207
5.756453,Direction 225 / Range P75,-88.34379,-25.17393,-12.53353,-1.504267,-86.04775,-26.75642,-89.5166,-26.61397
5.867936,Direction 225 / Range P75,-88.07645,-24.91594,-12.24646,-1.578431,-86.32232,-25.99693,-89.76892,-25.85725
5.979468,Direction 225 / Range P75,-88.08217,-24.10561,-12.15713,-1.730508,-86.60001,-25.61304,93.10403,-25.50922
6.090251,Direction 225 / Range P75,-88.40721,-23.39118,-11.03795,-2.095094,-86.57902,-25.23559,93.13428,-25.16422
6.202339,Direction 225 / Range P75,-88.77793,-23.3074,-12.64905,-0.7881624,-86.8044,-26.85356,92.8614,-26.78183
6.313434,Direction 225 / Range P75,-88.71975,-23.31121,-12.69878,-0.8465939,-86.58195,-25.9804,93.10986,-25.91475
6.425619,Direction 225 / Range P75,-88.504,-23.18948,-12.65877,-0.9504688,-86.57076,-25.79896,93.12609,-25.73696
6.536516,Direction 225 / Range P75,-88.09986,-22.9415,-12.30023,-1.604736,-85.99345,-25.69091,-89.43559,-25.64757
6.647675,Direction 225 / Range P75,-88.09422,-22.83524,-10.50831,-0.1288099,-86.13868,-26.07499,-89.59202,-26.0286
6.759588,Direction 225 / Range P75,-87.97082,-22.67958,-11.4101,-3.287753,-85.99979,-26.10912,-89.45438,-26.07109
6.870491,Direction 225 / Range P75,-87.89429,-22.63765,-11.05475,-2.475859,-87.21581,-25.71683,92.48382,-25.65271
6.982167,Direction 225 / Range P75,-87.99088,-22.64552,-11.63875,-2.156423,-86.67828,-26.51527,92.99711,-26.46093
7.093395,Direction 225 / Range P75,-87.95837,-22.81308,-12.35187,-1.052031,-85.73819,-25.77516,-89.18294,-25.73886
7.20506,Direction 225 / Range P75,-87.98121,-22.96329,-12.37843,-1.065376,-86.36844,-26.62277,-89.83801,-26.57017
7.316715,Direction 225 / Range P75,-88.14668,-22.9798,-12.24907,-1.35911,-86.64891,-25.77844,93.04803,-25.73018
7.430744,Direction 225 / Range P75,-88.43736,-22.91644,-11.7598,-2.292939,-86.52476,-26.32282,-89.98574,-26.2865
7.538942,Direction 225 / Range P75,-88.50083,-23.09118,-10.88259,-1.271077,-86.19666,-26.6773,-89.66851,-26.6539
7.650203,Direction 225 / Range P75,-88.59926,-22.91609,-11.07539,-2.06549,-86.50238,-26.08663,-89.95647,-26.05717
7.761938,Direction 225 / Range P75,-88.71607,-22.95677,-12.1152,-1.693116,-85.6479,-26.6833,-89.11955,-26.67596
7.873073,Direction 225 / Range P75,-88.70725,-23.05047,-12.10188,-1.723169,-85.81171,-28.1287,-89.32926,-28.11831
7.98482,Direction 225 / Range P75,-88.60865,-23.05579,-12.13333,-1.754674,-86.1067,-28.05665,-89.62202,-28.03646
8.096352,Direction 225 / Range P75,-88.68148,-23.09889,-12.09935,-1.639799,-86.38241,-27.20779,-89.87061,-27.18351
8.207469,Direction 225 / Range P75,-88.62305,-23.14262,-12.14887,-1.623954,-86.37997,-27.01409,-89.86224,-26.9916
