time,Status,HeadPolar,HeadAzimuth,ShoulderPolar,ShoulderAzimuth,LeftGazePolar,LeftGazeAzimuth,RightGazePolar,RightGazeAzimuth
1.793226,not-testing,-55.61165,4.352673,-4.117115,1.995844,-50.40567,3.255985,-53.5043,3.383716
1.902825,not-testing,-55.07183,4.328956,-2.523505,4.057313,-49.29801,4.144988,-52.39677,4.296454
2.01409,not-testing,-54.43579,4.753552,-2.358636,4.600072,-49.4551,4.49157,-52.55801,4.647458
2.127071,not-testing,-54.02492,5.500707,-2.482892,3.11412,-48.97924,4.122301,-52.08104,4.260621
2.237321,not-testing,-53.13719,5.752603,-1.188621,4.765837,-50.65622,6.538035,-53.77576,6.686023
2.348562,not-testing,-52.4756,3.813688,-0.633806,4.587965,-51.62827,3.553695,-54.7346,3.676635
2.483959,Direction 45 / Range P75,-53.15664,3.498489,-1.219033,4.494725,-52.86771,5.718073,-55.98433,5.802687
2.596216,Direction 45 / Range P75,-55.43477,5.569496,-1.699918,3.128223,-52.96461,7.253269,-56.09185,7.293074
2.708154,Direction 45 / Range P75,-55.75721,6.050487,-1.80628,3.121099,-53.13259,7.279357,-56.25965,7.336722
2.820004,Direction 45 / Range P75,-52.92081,7.194763,-2.085376,3.729073,-49.12432,7.661897,-52.25187,7.739394
2.931931,Direction 45 / Range P75,-48.66936,10.18276,-1.782399,-0.05070388,-36.7171,17.11497,-39.91079,17.30249
3.043756,Direction 45 / Range P75,-45.22009,16.74658,-0.1252119,3.125437,-28.93778,30.76005,-32.43903,31.16561
3.156046,Direction 45 / Range P75,-39.0709,19.04242,2.954908,1.849896,-25.50712,27.36158,-28.92593,27.71359
3.267014,Direction 45 / Range P75,-31.31792,20.19518,5.849558,1.766911,-15.01412,29.06224,-18.44495,29.54093
3.378365,Direction 45 / Range P75,-24.55486,25.0745,9.556992,1.670207,-13.3497,32.66122,-16.97919,33.06834
3.490221,Direction 45 / Range P75,-18.25627,30.8245,15.35474,1.096984,3.41654,41.57233,-0.4542233,42.47918
3.601296,Direction 45 / Range P75,-8.163176,36.06721,19.51398,1.098796,7.799206,40.54261,3.897292,41.35198
3.713501,Direction 45 / Range P75,0.6098981,38.884,23.745,0.6118894,19.63836,41.23544,15.80067,42.23768
3.824852,Direction 45 / Range P75,6.026076,40.70544,28.01406,1.0238,24.91696,42.75462,20.98901,43.78117
3.93704,Direction 45 / Range P75,9.876175,40.5574,31.64712,0.7739124,22.24883,41.02925,18.28133,41.80948
4.04761,Direction 45 / Range P75,9.287101,39.70916,32.72926,0.1372867,12.64674,39.84203,8.633362,40.27808
4.158687,Direction 45 / Range P75,6.235973,38.6684,34.18759,0.6814906,9.781837,39.37228,5.783906,39.71964
4.270334,Direction 45 / Range P75,5.72456,39.58134,33.06121,0.3456371,12.30002,41.17503,8.211076,41.60759
4.381999,Direction 45 / Range P75,7.494071,40.30814,32.11126,0.07790069,14.44471,41.12977,10.37031,41.62272
4.493078,Direction 45 / Range P75,7.432627,39.83596,31.34451,0.09867387,13.35078,40.01079,9.334373,40.45945
4.60487,Direction 45 / Range P75,6.208554,39.5652,30.50714,0.2192598,11.5416,39.19305,7.56593,39.60495
4.716292,Direction 45 / Range P75,7.973771,39.9664,29.53993,0.1062844,14.18443,39.5668,10.20788,40.08672
4.827651,Direction 45 / Range P75,10.47803,39.99487,28.86134,0.06842698,14.6214,38.7697,10.6846,39.28465
4.939298,Direction 45 / Range P75,7.985912,40.34531,27.03728,-0.6118958,12.59135,39.91903,8.57463,40.34996
5.050196,Direction 45 / Range P75,8.781038,40.21783,28.74752,-0.2292332,14.61631,39.07056,10.66297,39.56629
5.162281,Direction 45 / Range P75,11.20207,40.00791,29.79246,0.03056296,16.48688,39.90944,12.49013,40.44276
5.273446,Direction 45 / Range P75,11.65761,40.08081,29.06279,0.3564067,14.9379,39.25639,10.96304,39.71973
5.384975,Direction 45 / Range P75,11.39681,39.82269,31.1627,-0.004862134,13.92873,39.18658,9.951612,39.61459
5.4963,Direction 45 / Range P75,11.64466,39.6451,31.15968,0.310499,13.07145,39.15671,9.092093,39.55867
5.607612,Direction 45 / Range P75,11.63175,39.39662,31.43593,-0.3359652,12.49202,33.66771,8.784808,34.05741
5.719033,Direction 45 / Range P75,10.99413,39.63074,31.2993,0.09901922,12.63603,39.85636,8.616968,40.26455
5.830617,Direction 45 / Range P75,10.54365,40.18346,31.05837,0.7894054,12.78956,40.41047,8.742562,40.85316
5.941837,Direction 45 / Range P75,10.23076,40.41974,30.88284,0.7576902,12.68179,39.95531,8.660775,40.38898
