Participant,Posture,Direction,Count,time,HeadRotationAngle,TrunkRotationAngle
6,Standing,0,1,1.015293,0,0
6,Standing,0,1,1.133865,0,0
6,Standing,0,1,1.238322,0,0
6,Standing,0,1,1.354838,0,0
6,Standing,0,1,1.459553,2.399962,0
6,Standing,0,1,1.56987,20.83305,0
6,Standing,0,1,1.682085,36.22336,0
6,Standing,0,1,1.792105,42.42446,0
6,Standing,0,1,1.903167,46.40831,0
6,Standing,0,2,3.555571,0,0
6,Standing,0,2,3.667303,0,0
6,Standing,0,2,3.77768,0,0
6,Standing,0,2,3.888528,0,0
6,Standing,0,2,4.000255,4.836954,0
6,Standing,0,2,4.108026,17.02852,0
6,Standing,0,2,4.209075,27.20018,0
6,Standing,0,2,4.319601,40.99347,0
6,Standing,0,2,4.434452,45.19274,0
6,Standing,0,3,6.237076,0,0
6,Standing,0,3,6.348253,0,0
6,Standing,0,3,6.460317,0,0
6,Standing,0,3,6.562647,0,0
6,Standing,0,3,6.668762,0.1988102,0
6,Standing,0,3,6.777826,5.336269,0
6,Standing,0,3,6.880929,14.84748,0
6,Standing,0,3,6.987368,22.03108,0
6,Standing,0,3,7.098219,36.60474,0
6,Standing,0,3,7.208502,40.79897,0
6,Standing,0,3,7.320279,44.39808,0
6,Standing,270,1,10.87644,0,0
6,Standing,270,1,10.98829,0,0
6,Standing,270,1,11.0976,0,0
6,Standing,270,1,11.21094,0,0
6,Standing,270,1,11.31135,0,0
6,Standing,270,1,11.41624,0,0
6,Standing,270,1,11.52785,2.416542,0
6,Standing,270,1,11.6308,3.046261,0
6,Standing,270,1,11.73565,3.046261,0
6,Standing,270,1,11.84781,2.009058,0
6,Standing,270,1,11.95859,6.831792,0
6,Standing,270,1,12.07057,12.82134,0
6,Standing,270,1,12.18133,19.0641,0
6,Standing,270,1,12.29153,23.65041,0
6,Standing,270,1,12.39359,24.24899,0
6,Standing,270,1,12.51971,25.24677,0
6,Standing,270,1,12.63054,26.64392,0
6,Standing,270,2,14.13897,0,0
6,Standing,270,2,14.2501,0,0
6,Standing,270,2,14.36146,7.665365,0
6,Standing,270,2,14.46387,11.48506,0
6,Standing,270,2,14.56897,20.93377,0
6,Standing,270,2,14.68109,27.04466,0
6,Standing,270,2,14.79195,27.44393,0
6,Standing,270,2,14.89257,27.44393,0
6,Standing,270,3,16.44423,0,0
6,Standing,270,3,16.55535,0,0
6,Standing,270,3,16.66689,0.7999081,0
6,Standing,270,3,16.78358,9.633005,0
6,Standing,270,3,16.88823,15.83089,0
6,Standing,270,3,16.99959,23.40324,0
6,Standing,180,1,19.62561,0,0
6,Standing,180,1,19.72793,0,0
6,Standing,180,1,19.83297,0,0
6,Standing,180,1,19.94412,0,0
6,Standing,180,1,20.05606,0,0
6,Standing,180,1,20.16623,0,0
6,Standing,180,1,20.27805,2.279931,0
6,Standing,180,1,20.3882,5.881733,0
6,Standing,180,1,20.49158,6.263722,0
6,Standing,180,1,20.59709,2.720237,0
6,Standing,180,1,20.70799,15.13163,0
6,Standing,180,1,20.81992,27.02348,0
6,Standing,180,1,20.93112,36.00883,0
6,Standing,180,1,21.04152,40.80647,0
6,Standing,180,2,22.86155,0,0
6,Standing,180,2,22.97252,0,0
6,Standing,180,2,23.09202,0,0
6,Standing,180,2,23.19487,9.407969,0
6,Standing,180,2,23.30545,21.40251,0
6,Standing,180,2,23.41787,32.81067,0
6,Standing,180,2,23.52781,45.8019,0
6,Standing,180,2,23.63886,47.39883,0
6,Standing,180,3,25.37865,0,0
6,Standing,180,3,25.48968,0,0
6,Standing,180,3,25.60113,2.432687,0
6,Standing,180,3,25.70216,13.83244,0
6,Standing,180,3,25.80706,26.80156,0
6,Standing,180,3,25.91687,37.39621,0
6,Standing,180,3,26.02818,46.7989,0
6,Standing,90,1,30.09756,0,0
6,Standing,90,1,30.20776,0,0
6,Standing,90,1,30.325,0,0
6,Standing,90,1,30.43093,0,0
6,Standing,90,1,30.54198,0,0
6,Standing,90,1,30.65216,3.224887,0
6,Standing,90,1,30.75517,3.224887,0
6,Standing,90,1,30.86129,3.224887,0
6,Standing,90,1,30.97228,6.207788,0
6,Standing,90,1,31.08499,11.26271,0
6,Standing,90,1,31.19545,18.01693,0
6,Standing,90,1,31.30642,24.21904,0
6,Standing,90,2,32.89477,0,0
6,Standing,90,2,33.00221,0,0
6,Standing,90,2,33.1109,0,0
6,Standing,90,2,33.22295,0.8478836,0
6,Standing,90,2,33.33327,9.550594,0
6,Standing,90,2,33.44419,18.08023,0
6,Standing,90,2,33.55594,27.22507,0
6,Standing,90,3,35.01445,0,0
6,Standing,90,3,35.12484,0,0
6,Standing,90,3,35.23737,0,0
6,Standing,90,3,35.33816,0,0
6,Standing,90,3,35.44407,8.209659,0
6,Standing,90,3,35.5558,17.6011,0
6,Standing,90,3,35.66726,23.61993,0
