Direction,tCount,Time,HeadPolar,HeadAzimuth,TrunkPolar,TrunkAzimuth
315,1,8.537437,-24.21381,76.74182,0,0,
315,1,8.56481,-24.11332,76.72942,0,0,
315,1,8.591056,-24.14009,76.76042,0,0,
315,1,8.619077,-24.12204,76.77428,0,0,
315,1,8.646706,-24.04836,76.75289,0,0,
315,1,8.674842,-24.08288,76.78295,0,0,
315,1,8.702351,-24.12421,76.8046,0,0,
315,1,8.730149,-24.1178,76.80145,0,0,
315,1,8.758359,-24.05601,76.76285,0,0,
315,1,8.786034,-24.0542,76.74982,0,0,
315,1,8.814129,-24.10118,76.76254,0,0,
315,1,8.84162,-24.10656,76.73586,0,0,
315,1,8.869045,-24.14605,76.72449,0,0,
315,1,8.897316,-24.0901,76.72542,0,0,
315,1,8.924934,-23.97819,76.7109,0,0,
315,1,8.952406,-23.87429,76.69353,0,0,
315,1,8.980777,-23.49173,76.70468,0,0,
315,1,9.008045,-22.49486,76.74474,0,0,
315,1,9.035928,-20.46863,76.6535,0,0,
315,1,9.064095,-18.21916,76.49501,0,0,
315,1,9.091358,-14.84689,76.24337,0,0,
315,1,9.119486,-11.1069,76.05142,0,0,
315,1,9.149351,-6.6201,75.56489,0,0,
315,1,9.175033,-2.459546,74.94703,0,0,
315,1,9.202586,1.092269,74.16863,0,0,
315,1,9.229969,4.241119,73.06194,0,0,
315,1,9.258075,7.104722,71.79729,0,0,
315,1,9.28609,9.389906,70.5626,0,0,
315,1,9.313704,11.72407,69.34603,0,0,
315,1,9.341454,13.75137,67.95882,0,0,
315,1,9.368941,15.65431,66.60944,0,0,
315,1,9.397147,17.16562,65.17313,0,0,
315,1,9.42504,18.78865,63.74448,0,0,
315,1,9.452419,20.54759,62.05579,0,0,
315,1,9.480467,22.04586,60.18668,0,0,
315,1,9.508029,23.62373,58.46902,0,0,
315,1,9.536084,24.92095,56.56593,0,0,
315,1,9.563878,26.29684,54.379,0,0,
315,1,9.591383,27.48725,52.31728,0,0,
315,1,9.619587,28.73906,50.31525,0,0,
315,1,9.64726,29.8709,48.45497,0,0,
315,1,9.675063,30.79118,46.80657,0,0,
315,1,9.702777,31.76084,45.34335,0,0,
315,1,9.730339,32.818,43.86301,0,0,
315,1,9.75841,33.76303,42.51109,0,0,
315,1,9.78611,34.85809,41.1756,0,0,
315,1,9.813892,35.39428,39.74104,0,0,
315,2,12.00911,-18.06606,77.27342,0,0,
315,2,12.03861,-17.43166,77.30131,0,0,
315,2,12.06791,-16.79738,77.36182,0,0,
315,2,12.09801,-16.67387,77.33229,0,0,
315,2,12.12826,-16.40133,77.26212,0,0,
315,2,12.15702,-16.28645,77.16954,0,0,
315,2,12.18598,-16.31202,77.15025,0,0,
315,2,12.21448,-16.41901,77.15121,0,0,
315,2,12.24287,-16.37434,76.98445,0,0,
315,2,12.27084,-15.92907,76.674,0,0,
315,2,12.29922,-15.16176,76.3773,0,0,
315,2,12.32689,-13.84352,75.93551,0,0,
315,2,12.35483,-11.5652,75.27285,0,0,
315,2,12.38288,-9.028122,74.55424,0,0,
315,2,12.41023,-6.373738,73.89645,0,0,
315,2,12.43856,-3.268516,72.94107,0,0,
315,2,12.466,0.02271282,71.92273,0,0,
315,2,12.49366,3.448229,70.97388,0,0,
315,2,12.52181,6.853831,69.71531,0,0,
315,2,12.54962,10.15102,68.47039,0,0,
315,2,12.57747,13.24216,67.15251,0,0,
315,2,12.6051,16.11141,65.67155,0,0,
315,2,12.6328,18.79356,63.88939,0,0,
315,2,12.66076,21.06413,62.13482,0,0,
315,2,12.68825,23.09964,60.2911,0,0,
315,2,12.71634,24.6875,58.46834,0,0,
315,2,12.75027,25.9398,56.63032,0,0,
315,2,12.77192,27.17283,54.82514,0,0,
315,2,12.79934,28.19496,53.01045,0,0,
315,2,12.82752,29.21817,51.24289,0,0,
315,2,12.85528,30.04788,49.54034,0,0,
315,2,12.88309,30.90999,47.9822,0,0,
315,2,12.9106,31.62928,46.37523,0,0,
315,2,12.93909,32.36906,44.90419,0,0,
315,2,12.96627,33.14241,43.41122,0,0,
315,2,12.99397,33.80681,42.1919,0,0,
315,2,13.02194,34.63494,40.87227,0,0,
315,2,13.04915,35.3901,39.68292,0,0,
315,3,14.57827,-21.95541,77.19614,0,0,
315,3,14.60596,-21.19462,77.04386,0,0,
315,3,14.63341,-20.66422,76.87817,0,0,
315,3,14.66156,-20.39287,76.85444,0,0,
315,3,14.68926,-20.24921,76.83883,0,0,
315,3,14.71703,-19.80525,76.70397,0,0,
315,3,14.74441,-19.35881,76.62524,0,0,
315,3,14.77275,-18.72891,76.5793,0,0,
315,3,14.80255,-17.28847,76.23989,0,0,
315,3,14.83004,-15.83343,75.86608,0,0,
315,3,14.8547,-14.593,75.53948,0,0,
315,3,14.88293,-13.03629,75.06883,0,0,
315,3,14.90977,-11.56337,74.52856,0,0,
315,3,14.93853,-9.783285,74.01863,0,0,
315,3,14.96617,-7.998694,73.57671,0,0,
315,3,14.99418,-5.832757,73.07603,0,0,
315,3,15.02206,-3.326068,72.56268,0,0,
315,3,15.04959,-0.2930757,71.78817,0,0,
315,3,15.07809,2.749166,70.47884,0,0,
315,3,15.10505,5.554984,68.90268,0,0,
315,3,15.13275,8.243972,67.28826,0,0,
315,3,15.1608,11.02163,65.59019,0,0,
315,3,15.18857,13.48247,63.81919,0,0,
315,3,15.21663,15.58396,62.06089,0,0,
315,3,15.24447,17.45265,60.34121,0,0,
315,3,15.27844,19.53616,58.55872,0,0,
315,3,15.30004,21.35654,56.81787,0,0,
315,3,15.32689,23.22688,54.90408,0,0,
315,3,15.35507,25.1606,52.52825,0,0,
315,3,15.38291,26.8666,50.11099,0,0,
315,3,15.41057,28.31394,47.68551,0,0,
315,3,15.43881,29.60625,45.28212,0,0,
315,3,15.46604,30.99629,43.22796,0,0,
315,3,15.49344,32.12559,41.50475,0,0,
270,1,46.52105,-21.79277,76.56753,0,0,
270,1,46.5481,-21.751,76.54617,0,0,
270,1,46.57615,-21.76333,76.54092,0,0,
270,1,46.60414,-21.87765,76.54622,0,0,
270,1,46.63147,-21.91774,76.52892,0,0,
270,1,46.65961,-22.04707,76.54447,0,0,
270,1,46.68947,-22.14931,76.55867,0,0,
270,1,46.71513,-22.15332,76.58907,0,0,
270,1,46.74249,-22.06413,76.56228,0,0,
270,1,46.77037,-22.06909,76.59471,0,0,
270,1,46.79885,-21.86276,76.60081,0,0,
270,1,46.82611,-21.74753,76.52372,0,0,
270,1,46.85406,-21.8871,76.52822,0,0,
270,1,46.88255,-22.21648,76.62006,0,0,
270,1,46.90916,-22.14986,76.63887,0,0,
270,1,46.93719,-22.05088,76.60575,0,0,
270,1,46.96481,-21.89725,76.55776,0,0,
270,1,46.99266,-21.65778,76.46492,0,0,
270,1,47.02074,-21.7033,76.39471,0,0,
270,1,47.04838,-22.10808,76.259,0,0,
270,1,47.07622,-22.35944,76.12722,0,0,
270,1,47.10423,-22.85071,75.90166,0,0,
270,1,47.13186,-23.02391,75.73563,0,0,
270,1,47.15973,-22.96403,75.51147,0,0,
270,1,47.18742,-22.57146,75.15283,0,0,
270,1,47.21552,-22.13975,74.75885,0,0,
270,1,47.24334,-21.35976,74.2223,0,0,
270,1,47.27104,-19.24203,73.13936,0,0,
270,1,47.29892,-16.50792,71.91531,0,0,
270,1,47.32632,-14.59734,70.66579,0,0,
270,1,47.35449,-13.34644,68.65187,0,0,
270,1,47.38181,-12.5645,66.66682,0,0,
270,1,47.40982,-11.94195,64.95145,0,0,
270,1,47.445,-11.13739,63.3577,0,0,
270,1,47.4673,-10.53845,61.62965,0,0,
270,1,47.49413,-9.984524,59.83498,0,0,
270,1,47.52148,-9.660919,58.26837,0,0,
270,1,47.54899,-9.484734,56.67233,0,0,
270,1,47.57667,-9.200641,54.91003,0,0,
270,1,47.60408,-9.008842,53.11573,0,0,
270,1,47.6319,-8.817017,51.3659,0,0,
270,1,47.66013,-8.727929,49.78687,0,0,
270,1,47.69991,-8.688201,48.26271,0,0,
270,1,47.72942,-8.776635,46.13042,0,0,
270,1,47.75687,-8.996669,45.11005,0,0,
270,2,48.882,-23.84433,77.04246,0,0,
270,2,48.90954,-23.65648,76.93187,0,0,
270,2,48.93765,-23.75381,76.91184,0,0,
270,2,48.96558,-23.90845,76.92822,0,0,
270,2,48.99252,-24.0384,76.90668,0,0,
270,2,49.02079,-24.15403,76.91006,0,0,
270,2,49.04876,-24.5217,76.94746,0,0,
270,2,49.07638,-24.69087,76.92448,0,0,
270,2,49.10434,-24.89106,76.91696,0,0,
270,2,49.1317,-24.7881,76.87737,0,0,
270,2,49.15964,-24.81125,76.82298,0,0,
270,2,49.18765,-24.94757,76.80568,0,0,
270,2,49.21559,-24.9265,76.77842,0,0,
270,2,49.24319,-24.79922,76.71497,0,0,
270,2,49.27102,-24.62453,76.61707,0,0,
270,2,49.29907,-24.43332,76.48944,0,0,
270,2,49.32695,-24.47406,76.41075,0,0,
270,2,49.35432,-24.45249,76.2807,0,0,
270,2,49.38214,-24.35476,76.1897,0,0,
270,2,49.4096,-24.14954,76.06982,0,0,
270,2,49.43774,-23.82981,75.83446,0,0,
270,2,49.46597,-23.52586,75.58488,0,0,
270,2,49.49312,-22.64639,75.20197,0,0,
270,2,49.52149,-20.80123,74.3924,0,0,
270,2,49.54894,-18.45354,73.15975,0,0,
270,2,49.57677,-16.62963,72.08166,0,0,
270,2,49.60465,-14.89039,70.93562,0,0,
270,2,49.63203,-13.44581,69.46866,0,0,
270,2,49.66198,-12.16662,67.97509,0,0,
270,2,49.68742,-11.2402,66.48615,0,0,
270,2,49.7152,-10.54408,65.01286,0,0,
270,2,49.74308,-9.87581,63.4338,0,0,
270,2,49.77113,-9.32062,61.85346,0,0,
270,2,49.79881,-8.944057,60.29809,0,0,
270,2,49.82712,-8.635593,58.76825,0,0,
270,2,49.85507,-8.476299,57.22121,0,0,
270,2,49.88295,-8.389013,55.70948,0,0,
270,2,49.91053,-8.344508,54.28604,0,0,
270,2,49.93802,-8.332694,52.93476,0,0,
270,2,49.9655,-8.333602,51.74427,0,0,
270,2,49.99306,-8.378761,50.6405,0,0,
270,2,50.02137,-8.423956,49.61017,0,0,
270,2,50.04897,-8.542626,48.61269,0,0,
270,2,50.07706,-8.63623,47.71581,0,0,
270,2,50.10493,-8.859601,46.89413,0,0,
270,2,50.13313,-9.025009,46.04383,0,0,
270,2,50.16034,-9.163959,45.25879,0,0,
270,3,52.0075,-21.0398,76.38362,0,0,
270,3,52.0359,-20.96244,76.38749,0,0,
270,3,52.06379,-20.84924,76.39598,0,0,
270,3,52.09089,-20.72475,76.36691,0,0,
270,3,52.11885,-20.6425,76.36369,0,0,
270,3,52.14703,-20.60022,76.3667,0,0,
270,3,52.17453,-20.56466,76.3369,0,0,
270,3,52.20222,-20.54941,76.32811,0,0,
270,3,52.22981,-20.37298,76.18081,0,0,
270,3,52.2578,-20.1805,75.9618,0,0,
270,3,52.28561,-19.66691,75.65689,0,0,
270,3,52.31343,-19.10372,75.26331,0,0,
270,3,52.34118,-18.56073,74.75729,0,0,
270,3,52.36874,-17.63185,74.04082,0,0,
270,3,52.39699,-16.92792,73.3331,0,0,
270,3,52.42448,-16.34799,72.54942,0,0,
270,3,52.45242,-15.63493,71.53331,0,0,
270,3,52.48026,-15.18393,70.51149,0,0,
270,3,52.50816,-15.04933,69.58513,0,0,
270,3,52.5358,-14.58143,68.52326,0,0,
270,3,52.56357,-14.27705,67.61136,0,0,
270,3,52.59192,-14.02549,66.91566,0,0,
270,3,52.61915,-13.78794,66.10308,0,0,
270,3,52.64637,-13.25712,65.17357,0,0,
270,3,52.67441,-12.58866,64.32944,0,0,
270,3,52.70201,-12.0331,63.31728,0,0,
270,3,52.72994,-11.28306,62.04973,0,0,
270,3,52.75804,-10.31297,60.518,0,0,
270,3,52.78537,-8.982892,58.68462,0,0,
270,3,52.81337,-7.893542,57.21935,0,0,
270,3,52.84115,-7.2549,55.85875,0,0,
270,3,52.86892,-6.666064,54.31543,0,0,
270,3,52.89681,-6.3057,52.96487,0,0,
270,3,52.92493,-6.15068,51.56769,0,0,
270,3,52.95206,-5.898478,50.30186,0,0,
270,3,52.98029,-5.838871,49.04263,0,0,
270,3,53.00804,-5.853632,48.093,0,0,
270,3,53.0423,-5.77553,47.5127,0,0,
270,3,53.0686,-5.770996,46.76017,0,0,
270,3,53.11144,-6.117297,45.28172,0,0,
270,3,53.13528,-6.271194,44.9026,0,0,
225,1,87.71545,-22.57902,76.11162,0,0,
225,1,87.74275,-22.46927,76.01914,0,0,
225,1,87.77142,-22.52357,75.98414,0,0,
225,1,87.79891,-22.45042,75.9848,0,0,
225,1,87.83121,-22.4805,76.01861,0,0,
225,1,87.85371,-22.44954,76.03145,0,0,
225,1,87.88343,-22.43546,76.03715,0,0,
225,1,87.91016,-22.32073,76.00018,0,0,
225,1,87.93761,-22.24629,76.01022,0,0,
225,1,87.96527,-22.19683,76.02631,0,0,
225,1,87.99289,-22.04161,75.99229,0,0,
225,1,88.02073,-21.87392,75.92603,0,0,
225,1,88.04773,-22.03166,75.9664,0,0,
225,1,88.07673,-22.14096,76.01266,0,0,
225,1,88.10392,-22.51286,76.08346,0,0,
225,1,88.13125,-22.93222,76.08984,0,0,
225,1,88.15955,-23.03137,76.10085,0,0,
225,1,88.18719,-23.14658,76.02569,0,0,
225,1,88.2141,-23.44762,76.00018,0,0,
225,1,88.244,-23.8593,75.93098,0,0,
225,1,88.26969,-24.71579,75.88105,0,0,
225,1,88.29746,-26.42089,75.66249,0,0,
225,1,88.32546,-29.27232,75.13966,0,0,
225,1,88.35271,-32.99031,74.31221,0,0,
225,1,88.38085,-36.72982,73.1208,0,0,
225,1,88.40862,-40.35683,71.65347,0,0,
225,1,88.43672,-43.50745,69.90313,0,0,
225,1,88.46477,-46.24525,67.9399,0,0,
225,1,88.49235,-48.60206,65.84516,0,0,
225,1,88.52038,-50.53445,63.40157,0,0,
225,1,88.54803,-51.87289,61.0249,0,0,
225,1,88.57584,-53.02956,58.55796,0,0,
225,1,88.60366,-54.12088,56.23021,0,0,
225,1,88.63084,-54.82812,53.8443,0,0,
225,1,88.65875,-55.29805,51.63773,0,0,
225,1,88.68661,-55.64996,49.37849,0,0,
225,1,88.71449,-55.54694,47.21561,0,0,
225,1,88.74197,-55.62981,45.28606,0,0,
225,1,88.76985,-55.63768,43.70374,0,0,
225,1,88.79762,-55.51271,42.5524,0,0,
225,1,88.82549,-55.17395,41.81919,0,0,
225,1,88.8531,-54.78909,41.45846,0,0,
225,1,88.88083,-54.30458,41.29185,0,0,
225,1,88.9084,-53.83689,41.1558,0,0,
225,1,88.93646,-53.20464,40.94014,0,0,
225,1,88.96429,-52.57677,40.64918,0,0,
225,1,88.99189,-52.08045,40.1698,0,0,
225,1,89.01986,-51.71649,39.69786,0,0,
225,1,89.04755,-51.21237,38.99783,0,0,
225,1,89.07539,-50.73981,38.13324,0,0,
225,1,89.1031,-50.39316,37.13472,0,0,
225,1,89.13086,-49.95055,36.19794,0,0,
225,1,89.15897,-49.7382,35.22477,0,0,
225,1,89.18704,-49.30267,34.08467,0,0,
225,1,89.21482,-49.14272,33.19607,0,0,
225,1,89.24265,-48.95655,32.36636,0,0,
225,1,89.2699,-48.93211,32.02176,0,0,
225,1,89.29763,-48.75013,31.92327,0,0,
225,1,89.32549,-48.75142,31.99773,0,0,
225,1,89.35302,-48.74798,32.29148,0,0,
225,1,89.39433,-48.5699,32.87021,0,0,
225,2,92.17373,-29.7203,76.55006,0,0,
225,2,92.20174,-29.43654,76.33224,0,0,
225,2,92.2282,-29.18606,76.23728,0,0,
225,2,92.25632,-29.10453,76.24795,0,0,
225,2,92.28356,-28.94321,76.27817,0,0,
225,2,92.31118,-28.80885,76.35088,0,0,
225,2,92.33916,-28.79242,76.4157,0,0,
225,2,92.36691,-28.60913,76.37419,0,0,
225,2,92.39498,-28.4168,76.14075,0,0,
225,2,92.4227,-27.82488,75.60145,0,0,
225,2,92.45015,-27.3201,74.95344,0,0,
225,2,92.47788,-26.80618,74.00471,0,0,
225,2,92.50591,-26.21617,72.83511,0,0,
225,2,92.53352,-26.58237,71.74852,0,0,
225,2,92.56149,-27.0009,70.48186,0,0,
225,2,92.58887,-27.21489,69.20409,0,0,
225,2,92.61713,-27.87176,68.09438,0,0,
225,2,92.64478,-28.73561,66.94054,0,0,
225,2,92.67235,-29.41889,65.6179,0,0,
225,2,92.70049,-29.91384,64.04275,0,0,
225,2,92.72775,-30.53122,62.18432,0,0,
225,2,92.75626,-31.26902,60.12575,0,0,
225,2,92.78398,-32.27227,58.25556,0,0,
225,2,92.81133,-33.36423,56.5075,0,0,
225,2,92.83942,-34.46987,54.63439,0,0,
225,2,92.86746,-35.39896,52.99423,0,0,
225,2,92.89492,-36.20502,51.23409,0,0,
225,2,92.92301,-37.00208,49.57075,0,0,
225,2,92.95036,-37.90981,48.01228,0,0,
225,2,92.9782,-38.8012,46.49317,0,0,
225,2,93.00633,-39.08572,44.87517,0,0,
225,2,93.03364,-39.38659,43.37146,0,0,
225,2,93.06172,-39.61069,41.79172,0,0,
225,2,93.08932,-40.28131,40.24302,0,0,
225,2,93.11707,-41.22046,38.8864,0,0,
225,2,93.14517,-42.03168,37.66756,0,0,
225,2,93.17477,-42.83182,36.45958,0,0,
225,2,93.20053,-43.68041,35.39735,0,0,
225,3,94.67226,-25.42898,77.43774,0,0,
225,3,94.70007,-24.8077,77.17921,0,0,
225,3,94.72799,-24.52975,76.95401,0,0,
225,3,94.75587,-24.53381,76.84286,0,0,
225,3,94.78334,-24.48357,76.78046,0,0,
225,3,94.81095,-24.50643,76.76067,0,0,
225,3,94.84619,-24.55999,76.78576,0,0,
225,3,94.86854,-24.44931,76.75763,0,0,
225,3,94.89629,-24.30225,76.73864,0,0,
225,3,94.92307,-24.19036,76.68543,0,0,
225,3,94.95003,-24.27412,76.68903,0,0,
225,3,94.97775,-24.31712,76.67588,0,0,
225,3,95.00598,-24.36967,76.57575,0,0,
225,3,95.03377,-24.29418,76.49033,0,0,
225,3,95.06087,-24.16772,76.35407,0,0,
225,3,95.08897,-23.89804,76.06373,0,0,
225,3,95.11674,-23.80213,75.77794,0,0,
225,3,95.14426,-23.9571,75.48609,0,0,
225,3,95.17297,-24.04287,75.03439,0,0,
225,3,95.19981,-24.39635,74.33675,0,0,
225,3,95.22751,-24.89281,73.4837,0,0,
225,3,95.25549,-26.14518,72.42433,0,0,
225,3,95.28301,-27.82436,71.43012,0,0,
225,3,95.31068,-29.18662,70.55379,0,0,
225,3,95.33849,-30.29532,69.41833,0,0,
225,3,95.36626,-31.54045,68.28737,0,0,
225,3,95.39427,-32.83039,67.13796,0,0,
225,3,95.4225,-34.01151,65.71922,0,0,
225,3,95.44974,-35.10971,63.87703,0,0,
225,3,95.47783,-35.44417,61.50703,0,0,
