Direction,tCount,Time,HeadRotation,HeadPitch,HeadYaw,TrunkRotation,TrunkPitch,TrunkYaw,StartRotation
225,1,8.113529,(339.80* 0.00* 0.00),0,0,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,1,8.140917,(339.80* 0.00* 0.00),0,0,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,1,8.166483,(339.80* 0.00* 0.00),0,0,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,1,8.194419,(339.80* 0.00* 0.00),0,0,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,1,8.220891,(339.80* 0.00* 0.00),0,0,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,1,8.249497,(339.80* 0.00* 0.00),0,0,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,1,8.27689,(339.80* 0.00* 0.00),0,0,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,1,8.304919,(339.80* 0.00* 0.00),0,0,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,1,8.335474,(339.60* 359.20* 0.00),-0.2000122,-0.7999878,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,1,8.360059,(339.40* 358.60* 0.00),-0.3999939,-1.399994,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,1,8.387962,(339.40* 358.20* 0.00),-0.3999939,-1.799988,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,1,8.416204,(340.00* 357.40* 0.00),0.1999993,-2.600006,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,1,8.448108,(342.00* 355.80* 0.00),2.2,-4.200012,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,1,8.474179,(343.40* 354.80* 0.00),3.600001,-5.200012,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,1,8.501088,(344.80* 353.60* 0.00),5,-6.399994,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,1,8.527802,(346.00* 352.00* 0.00),6.200001,-8,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,1,8.557544,(347.80* 350.00* 0.00),7.999998,-10,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,1,8.584085,(349.00* 348.60* 0.00),9.200002,-11.39999,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,1,8.61229,(350.40* 347.00* 0.00),10.6,-13,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,1,8.640539,(352.00* 345.40* 0.00),12.2,-14.60001,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,1,8.665836,(354.00* 343.60* 0.00),14.2,-16.39999,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,1,8.694821,(356.60* 341.00* 0.00),16.8,-19,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,1,8.721321,(358.40* 339.20* 0.00),18.6,-20.79999,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,1,8.749186,(0.00* 337.60* 0.00),20.2,-22.39999,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,1,8.775619,(1.40* 336.80* 0.00),21.60001,-23.20001,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,1,8.803862,(3.60* 336.00* 0.00),23.8,-24,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,1,8.831515,(5.00* 335.40* 0.00),25.2,-24.60001,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,1,8.859326,(6.20* 334.80* 0.00),26.4,-25.20001,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,1,8.889246,(8.20* 334.00* 0.00),28.4,-26,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,1,8.914356,(9.60* 333.20* 0.00),29.8,-26.79999,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,1,8.942149,(10.40* 332.60* 0.00),30.60001,-27.39999,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,1,8.969675,(11.20* 332.40* 0.00),31.40001,-27.60001,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,1,8.997573,(12.00* 332.00* 0.00),32.2,-28,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,2,10.70636,(340.80* 359.80* 0.00),0.9999943,-0.2000122,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,2,10.73342,(340.80* 359.80* 0.00),0.9999943,-0.2000122,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,2,10.76114,(340.80* 359.80* 0.00),0.9999943,-0.2000122,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,2,10.78893,(340.80* 359.80* 0.00),0.9999943,-0.2000122,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,2,10.81675,(340.80* 359.80* 0.00),0.9999943,-0.2000122,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,2,10.84486,(340.80* 359.80* 0.00),0.9999943,-0.2000122,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,2,10.87194,(340.80* 359.80* 0.00),0.9999943,-0.2000122,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,2,10.90009,(340.80* 359.80* 0.00),0.9999943,-0.2000122,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,2,10.92825,(340.80* 359.80* 0.00),0.9999943,-0.2000122,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,2,10.95574,(340.80* 359.80* 0.00),0.9999943,-0.2000122,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,2,10.98478,(340.80* 359.80* 0.00),0.9999943,-0.2000122,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,2,11.01105,(340.80* 359.80* 0.00),0.9999943,-0.2000122,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,2,11.0385,(340.80* 359.80* 0.00),0.9999943,-0.2000122,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,2,11.06672,(340.80* 359.80* 0.00),0.9999943,-0.2000122,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,2,11.0941,(340.80* 359.80* 0.00),0.9999943,-0.2000122,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,2,11.12409,(340.80* 359.60* 0.00),0.9999935,-0.3999939,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,2,11.15008,(341.20* 359.20* 0.00),1.399994,-0.8000183,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,2,11.17775,(343.40* 357.40* 0.00),3.599994,-2.600006,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,2,11.20576,(346.60* 353.60* 0.00),6.799994,-6.399994,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,2,11.23358,(349.80* 350.00* 0.00),9.999995,-10,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,2,11.26096,(352.20* 347.80* 0.00),12.4,-12.20001,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,2,11.28881,(354.00* 345.40* 0.00),14.2,-14.60001,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,2,11.31705,(357.80* 341.80* 0.00),18,-18.20001,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,2,11.34453,(1.60* 338.40* 0.00),21.8,-21.60001,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,2,11.37234,(3.60* 336.60* 0.00),23.8,-23.39999,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,2,11.40019,(4.60* 335.80* 0.00),24.8,-24.20001,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,2,11.42755,(6.00* 334.80* 0.00),26.2,-25.20001,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,2,11.45567,(7.40* 333.60* 0.00),27.59999,-26.39999,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,2,11.48358,(8.60* 332.80* 0.00),28.8,-27.20001,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,2,11.51177,(9.40* 332.00* 0.00),29.6,-28,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,2,11.53973,(10.40* 331.20* 0.00),30.59999,-28.79999,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,2,11.56764,(11.00* 330.80* 0.00),31.2,-29.20001,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,3,13.10834,(340.00* 359.60* 0.00),0.1999933,-0.3999939,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,3,13.13711,(340.00* 359.60* 0.00),0.1999933,-0.3999939,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,3,13.16542,(340.00* 359.60* 0.00),0.1999933,-0.3999939,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,3,13.18661,(340.00* 359.60* 0.00),0.1999933,-0.3999939,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,3,13.22084,(340.00* 359.60* 0.00),0.1999933,-0.3999939,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,3,13.26488,(341.40* 358.80* 0.00),1.599994,-1.200012,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,3,13.30489,(344.40* 355.80* 0.00),4.599996,-4.200012,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,3,13.33278,(346.60* 353.60* 0.00),6.799996,-6.399994,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,3,13.35987,(349.00* 351.20* 0.00),9.199997,-8.800018,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,3,13.38777,(351.80* 348.60* 0.00),11.99999,-11.40002,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,3,13.41722,(354.60* 346.20* 0.00),14.79999,-13.80002,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,3,13.46047,(358.60* 342.80* 0.00),18.8,-17.20001,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
225,3,13.48787,(0.60* 341.20* 0.00),20.8,-18.80002,(0.00* 0.00* 0.00),0,0,(339.80* 0.00* 0.00)
