Direction,Count,Time,TrunkPolar,TrunkAzimuth,TrunkPolar,TrunkAzimuth
135,1,7.176224,-6.271189,73.93587,0,0,
135,1,7.211268,-5.525229,73.73663,0,0,
135,1,7.233459,-5.266871,73.812,0,0,
135,1,7.257542,-5.1987,73.91698,0,0,
135,1,7.297884,-5.506028,74.03477,0,0,
135,1,7.325259,-5.923715,73.99103,0,0,
135,1,7.353837,-6.170628,74.0176,0,0,
135,1,7.383055,-6.282165,73.99722,0,0,
135,1,7.410862,-6.11694,73.9341,0,0,
135,1,7.439553,-5.896409,73.87536,0,0,
135,1,7.467676,-5.709317,73.88007,0,0,
135,1,7.495002,-5.671704,73.90276,0,0,
135,1,7.523478,-5.564797,73.84228,0,0,
135,1,7.551102,-5.505146,73.85331,0,0,
135,1,7.578784,-5.403195,73.90552,0,0,
135,1,7.606897,-5.462611,73.90421,0,0,
135,1,7.634473,-5.467883,73.87627,0,0,
135,1,7.662761,-5.395363,73.81699,0,0,
135,1,7.689948,-5.587241,73.93938,0,0,
135,1,7.718307,-5.715841,74.071,0,0,
135,1,7.747451,-5.561965,73.94688,0,0,
135,1,7.775499,-5.403239,73.92141,0,0,
135,1,7.800761,-5.987397,74.04322,0,0,
135,1,7.828207,-6.287981,74.22808,0,0,
135,1,7.856785,-5.885639,74.54385,0,0,
135,1,7.884693,-5.626647,74.8233,0,0,
135,1,7.911969,-5.479983,74.95892,0,0,
135,1,7.940234,-5.395146,75.20947,0,0,
135,1,7.967987,-4.756818,75.27681,0,0,
135,1,7.995821,-5.438674,75.82941,0,0,
135,1,8.023972,-4.198969,75.9145,0,0,
135,1,8.051359,-3.956745,75.61953,0,0,
135,1,8.07652,-3.778813,75.78379,0,0,
135,1,8.112556,1.066776,75.94118,0,0,
135,1,8.136667,3.867481,76.09354,0,0,
135,1,8.167794,9.321933,76.11308,0,0,
135,1,8.196138,9.227237,75.93365,0,0,
135,1,8.225454,12.16472,76.51727,0,0,
135,1,8.255438,14.3668,75.28816,0,0,
135,1,8.286048,15.12775,75.34219,0,0,
135,1,8.314441,16.30701,75.76121,0,0,
135,1,8.340759,14.10717,74.61408,0,0,
135,1,8.368217,13.50862,73.22131,0,0,
135,1,8.401195,11.35601,72.61629,0,0,
135,1,8.42847,10.49812,71.21017,0,0,
135,1,8.452933,9.955992,70.54924,0,0,
135,1,8.479413,9.237646,70.79739,0,0,
