Direction,tCount,Time,HeadPolar,HeadAzimuth,TrunkPolar,TrunkAzimuth
135,1,1.703114,0.3652878,-1.880359,-3.90214,-2.66327,
135,1,1.729685,0.6317685,-1.683912,-3.963678,-2.659113,
135,1,1.757618,0.8270417,-1.477151,-4.028022,-2.63871,
135,1,1.785516,0.9581627,-1.296548,-4.116919,-2.626741,
135,1,1.814278,1.10243,-1.280454,-4.163853,-2.616232,
135,1,1.841038,1.209003,-1.33526,-4.16196,-2.621027,
135,1,1.868327,1.225165,-1.418595,-4.165706,-2.593574,
135,1,1.897001,1.189596,-1.585568,-5.205165,-1.59382,
135,1,1.92444,1.050451,-1.771479,-5.370867,-1.450346,
135,1,1.95235,0.6337788,-1.893396,-5.463989,-1.406294,
135,1,1.980099,-0.2840459,-1.74234,-5.544099,-1.412433,
135,1,2.00744,-1.828799,-1.25255,-4.617858,-2.421125,
135,1,2.035941,-4.175504,-0.02159562,-4.661555,-2.557963,
135,1,2.063413,-6.635455,1.700764,-5.609487,-1.998456,
135,1,2.091089,-8.822023,3.559332,-6.470412,-1.514751,
135,1,2.118908,-10.90542,5.65439,-6.942072,-1.495053,
135,1,2.147085,-13.00561,7.652287,-7.457874,-1.587713,
135,1,2.174958,-14.94483,9.551651,-7.979146,-1.595436,
135,1,2.202907,-17.39978,11.61816,-8.883333,-1.707751,
135,1,2.22996,-19.87761,13.48775,-9.224605,-1.617863,
135,1,2.257746,-22.76352,15.90162,-9.724361,-1.631519,
135,1,2.285283,-26.18911,17.75373,-10.31163,-1.661691,
135,1,2.313483,-29.22816,19.0659,-10.98238,-1.713051,
135,1,2.341564,-31.67099,20.54175,-11.49398,-1.719096,
135,1,2.368712,-33.53466,21.63936,-11.43627,-2.760191,
135,1,2.397156,-34.82702,22.32295,-11.98602,-2.492591,
135,1,2.424977,-35.2506,22.96711,-13.07701,-1.614901,
135,1,2.45234,-35.2273,23.62083,-13.64054,-1.422574,
135,1,2.480544,-34.55475,24.51307,-13.99906,-1.367649,
135,1,2.508135,-33.08929,25.91057,-14.31936,-1.229509,
135,1,2.536018,-31.80888,27.09198,-14.55632,-1.060529,
135,1,2.563946,-30.66688,27.77758,-14.5956,-0.9386802,
135,1,2.591507,-29.9571,28.38043,-14.66413,-0.7882469,
135,1,2.619382,-29.80176,28.7238,-14.64466,-0.6829414,
135,1,2.64695,-30.14432,28.77842,-14.49225,-0.6430942,
135,1,2.67524,-30.85387,28.63497,-14.36666,-0.6103488,
135,1,2.7033,-31.51633,28.40538,-14.25869,-0.5972672,
135,1,2.730629,-32.21345,28.05556,-14.07049,-0.6443642,
135,1,2.758369,-32.99412,27.58813,-13.91475,-0.6522593,
135,2,4.36954,-0.4098873,-1.527901,-9.623548,-0.2568844,
135,2,4.398076,-0.1082987,-1.502298,-9.709557,-0.2479586,
135,2,4.425933,0.1317757,-1.58202,-9.793017,-0.2441177,
135,2,4.453171,0.3176716,-1.575504,-9.902807,-0.2487605,
135,2,4.481623,0.09553388,-1.408605,-10.02985,-0.2400446,
135,2,4.509017,-0.4510574,-1.037317,-10.19582,-0.256388,
135,2,4.537227,-1.397117,-0.2407621,-10.37784,-0.2495009,
135,2,4.565054,-3.157672,1.090779,-10.50843,-0.2888874,
135,2,4.59265,-5.423798,2.575656,-10.68749,-0.3337803,
135,2,4.62005,-8.548708,4.033068,-11.01432,-0.3271948,
135,2,4.64802,-11.85928,5.470166,-11.23403,-0.4046634,
135,2,4.675673,-15.67926,6.823339,-12.06937,-0.3913236,
135,2,4.704041,-19.84941,7.890354,-12.06618,-0.4873407,
135,2,4.731541,-23.63228,8.896232,-12.8245,-0.1756027,
135,2,4.759657,-26.99479,10.07688,-13.64431,0.06233952,
135,2,4.78733,-29.60404,11.51184,-14.09939,-0.1934692,
135,2,4.814854,-31.03832,12.85657,-14.4268,-0.4455694,
135,2,4.842706,-32.25879,14.11668,-14.97319,-0.4763334,
135,2,4.870663,-33.06781,15.48665,-15.94532,-0.1747868,
135,2,4.898239,-33.75433,16.86962,-15.42492,-1.861946,
135,2,4.92618,-34.64904,18.33202,-16.53744,-0.4985524,
135,2,4.954468,-36.05899,19.70843,-17.38067,-0.06513403,
135,2,4.981592,-37.35291,20.81113,-17.96077,0.1250311,
135,2,5.009903,-39.00687,21.95471,-18.36747,0.2367916,
135,2,5.037589,-40.78074,22.64833,-18.76048,0.3424503,
135,2,5.065356,-41.87774,23.05395,-19.1712,0.3801106,
135,2,5.092833,-42.2954,23.08995,-19.50402,0.3896987,
135,2,5.121222,-42.02458,22.86883,-19.81674,0.4334234,
135,2,5.147862,-40.83279,22.75782,-20.14124,0.468755,
135,2,5.175939,-39.3418,23.0439,-20.3543,0.479757,
135,2,5.206305,-37.73129,23.29304,-20.40518,0.5063,
135,2,5.231195,-36.10902,23.45092,-20.46452,0.5350674,
135,2,5.258901,-34.87895,23.65611,-20.49683,0.648766,
135,2,5.286825,-34.00299,24.07446,-20.34582,0.7521202,
135,2,5.314857,-33.51571,24.73893,-20.13274,0.7634823,
135,2,5.342922,-33.5242,25.24922,-19.87501,0.7716731,
135,2,5.370484,-33.85508,25.70111,-19.51924,0.7149189,
135,3,7.787106,-0.403724,-2.954402,-17.01424,1.706059,
135,3,7.815086,-0.08302372,-2.904652,-17.85077,1.669721,
135,3,7.842762,0.2914903,-2.84311,-18.50454,1.558973,
135,3,7.870326,0.878796,-2.736431,-18.91372,1.462504,
135,3,7.898398,1.477829,-2.587924,-19.20139,1.39476,
135,3,7.925965,1.997354,-2.487492,-19.40022,1.383091,
135,3,7.953685,2.424277,-2.374151,-19.31968,1.28994,
135,3,7.981694,2.348628,-2.13986,-19.34014,1.235705,
135,3,8.009227,1.801178,-1.691364,-18.95164,0.8856875,
135,3,8.037538,0.6535105,-1.177745,-18.81168,0.8763978,
135,3,8.065168,-1.060279,-0.5528086,-18.37171,0.547953,
135,3,8.092564,-3.248606,0.3238613,-18.17474,0.3892349,
135,3,8.120966,-5.649777,1.263334,-18.1135,0.3207106,
135,3,8.148098,-8.543184,3.17581,-18.08734,0.2080851,
135,3,8.176164,-11.72703,6.194153,-18.18258,0.1353965,
135,3,8.203846,-14.22344,8.599162,-18.67475,-0.1959246,
135,3,8.232071,-16.52615,10.51094,-18.83741,-0.1169673,
135,3,8.258752,-18.59755,12.3479,-19.16296,-0.2360902,
135,3,8.286742,-20.41314,13.51299,-19.91911,-0.3901345,
135,3,8.314614,-22.50858,14.63239,-20.62187,-0.4851714,
135,3,8.342538,-24.7016,15.79692,-21.45591,-0.5580781,
135,3,8.369981,-26.78392,16.8531,-22.49222,-0.655834,
135,3,8.398438,-28.83559,18.02563,-23.71604,-0.5775037,
135,3,8.426082,-30.74595,19.13619,-24.65741,-1.754032,
135,3,8.45352,-32.02562,20.571,-26.32861,-1.901542,
135,3,8.48174,-32.5107,21.82422,-27.69369,-2.037829,
135,3,8.508996,-32.72243,23.34733,-29.04486,-2.189194,
135,3,8.537149,-32.96299,24.40674,-30.3534,-2.206422,
135,3,8.565551,-33.47911,25.15008,-31.42206,-1.602715,
270,1,16.45327,-1.725927,-1.44081,-1.876094,-0.5487059,
270,1,16.48177,-1.186945,-1.356763,-1.991129,-0.4705988,
270,1,16.50883,-0.2729104,-1.331238,-2.097818,-0.4223017,
270,1,16.53681,0.9736336,-1.204905,-2.090601,-0.3730543,
270,1,16.56484,2.459152,-1.075876,-1.886667,-0.3702173,
270,1,16.59227,4.114398,-1.005896,-1.951343,-0.1419213,
270,1,16.62019,5.942406,-0.9912789,-1.56003,-0.1361997,
270,1,16.64791,7.92287,-0.8835431,-1.100854,-0.0770556,
270,1,16.67561,10.58501,-0.7708842,-0.5799246,-0.1155466,
270,1,16.70376,13.59908,-0.5068132,0.1205103,-0.1381573,
270,1,16.73118,16.91713,-0.106593,0.8703452,-0.1966377,
270,1,16.75915,20.99825,0.5170079,1.869837,-1.615357,
270,1,16.78708,25.57261,1.126126,2.932348,-2.029793,
270,1,16.81474,30.46331,1.643734,3.864402,-2.012848,
270,1,16.85485,35.73394,1.982025,5.609252,-1.765985,
270,1,16.88429,43.10391,2.333815,6.883656,-0.4465133,
270,1,16.91147,47.73064,2.250191,8.340911,-0.9436029,
270,1,16.93972,52.30507,2.15563,9.664818,-1.149688,
270,1,16.96697,55.98545,2.010926,11.05561,-1.453318,
270,1,16.99447,57.96492,1.895066,12.44662,-1.329983,
270,1,17.02198,58.97471,1.813264,13.91613,-1.242214,
270,1,17.04999,58.39664,1.647246,15.35862,-1.149517,
270,1,17.07753,56.45285,1.195839,16.75704,-1.001231,
270,1,17.10549,53.49041,0.5717999,17.68694,0.08051202,
270,1,17.13313,49.52919,-0.1424277,18.56201,-0.1476117,
270,1,17.16101,45.09266,-1.100636,18.82109,-1.378403,
270,1,17.18839,40.27371,-2.070021,19.07571,-0.4463166,
270,1,17.21663,35.34959,-2.993546,18.86845,-1.049482,
270,1,17.2447,30.54802,-3.829232,18.44941,-1.858973,
270,1,17.27423,26.08022,-4.449702,17.58303,-2.135548,
270,1,17.29944,21.91081,-5.040753,16.85158,-2.149275,
270,1,17.32721,18.1343,-5.54127,15.95594,-1.587233,
270,1,17.35489,14.8916,-6.010334,14.64677,-2.080807,
270,1,17.38305,11.96156,-6.590396,13.59427,-2.231587,
270,1,17.41129,9.17428,-7.263815,12.42133,-2.336496,
270,1,17.43832,6.602547,-8.056403,11.31263,-2.303633,
270,1,17.46655,4.182899,-8.40095,9.996308,-2.507131,
270,1,17.49451,2.040352,-8.41423,8.874527,-2.483356,
270,1,17.52235,0.3233654,-8.326389,8.398196,-1.83486,
270,1,17.54978,-0.9009662,-8.245702,7.459449,-2.055714,
270,1,17.57789,-1.735021,-8.355481,6.095514,-1.93352,
270,1,17.60566,-2.068501,-9.126378,4.786026,-1.611612,
270,1,17.63375,-2.167177,-10.57378,3.967956,-3.112297,
270,1,17.66148,-1.97968,-12.8236,2.564215,-3.193032,
270,1,17.68864,-1.741999,-15.54478,1.594613,-4.438625,
270,1,17.71687,-1.53532,-18.73814,0.7462044,-4.594532,
270,1,17.74442,-2.017188,-21.92213,-0.3278733,-4.653663,
270,1,17.77204,-2.48711,-24.54036,0.3705631,-1.96642,
270,1,17.79992,-2.762231,-27.20723,-1.456786,-3.597235,
270,1,17.82776,-3.199722,-29.69196,-4.264421,-3.975735,
270,1,17.85576,-3.72175,-31.68526,-3.988575,-5.619089,
270,1,17.88292,-4.071303,-33.64716,-5.884115,-6.3241,
270,1,17.91051,-4.349528,-35.98701,-7.831759,-6.231949,
270,1,17.93859,-4.521806,-37.64281,-8.515158,-6.695201,
270,1,17.96653,-4.504136,-39.15628,-9.850415,-6.79184,
270,1,17.99444,-4.075804,-40.84943,-9.181193,-4.2217,
270,1,18.02234,-3.257875,-42.18195,-8.748076,-1.440959,
270,1,18.04933,-2.325959,-42.9505,-10.05921,-2.7309,
270,1,18.0777,-1.324772,-43.56592,-10.86969,-2.933582,
270,1,18.10543,-0.6068631,-43.72656,-11.12217,-2.889946,
270,1,18.13334,-0.04249404,-43.57035,-11.79597,-2.767472,
270,1,18.16052,0.3320068,-43.26994,-12.47635,-2.777697,
270,1,18.18872,0.6212974,-42.64954,-12.29746,-2.911774,
270,1,18.21667,0.7368094,-41.93703,-12.52466,-2.999032,
270,1,18.24422,0.7257804,-41.25187,-12.56367,-2.983264,
270,1,18.27378,0.5043896,-40.34973,-12.30192,-3.11767,
270,1,18.29918,0.3177979,-39.55676,-12.16943,-3.18091,
270,1,18.32694,0.1251502,-38.64427,-12.20434,-1.3557,
270,2,19.85703,-0.06035008,-0.2115039,-7.290217,-0.297625,
270,2,19.88434,0.01056292,-0.1894608,-7.282033,-0.198603,
270,2,19.91105,0.0608241,-0.2218865,-7.225472,-0.2048943,
270,2,19.93922,0.111525,-0.3397653,-7.139256,-0.2648175,
270,2,19.96712,0.137001,-0.5480971,-7.063087,-0.3054655,
270,2,19.99498,0.1755279,-0.7407526,-6.976501,-0.3696535,
270,2,20.02277,0.2214406,-0.9538091,-6.921751,-0.3917795,
270,2,20.05019,0.2720824,-1.25167,-6.854672,-0.3713718,
270,2,20.07828,0.3243258,-1.690557,-6.503066,-0.6427403,
270,2,20.10631,0.4421538,-2.338013,-6.046655,-0.9413409,
270,2,20.13389,0.5181864,-3.323503,-5.92036,-0.9976031,
270,2,20.16176,0.5645604,-4.712826,-5.850258,-1.055217,
270,2,20.18911,0.5137746,-6.703877,-5.756374,-1.082549,
270,2,20.21722,0.4055155,-9.279125,-5.604278,-1.123056,
270,2,20.24514,0.3076856,-12.18771,-5.527023,-1.134394,
270,2,20.2723,0.3667439,-15.33902,-5.53928,-1.141191,
270,2,20.3005,0.3864731,-18.6179,-5.516768,-1.163784,
270,2,20.32755,0.3577042,-22.12496,-5.586421,-1.167855,
270,2,20.35583,0.4101781,-25.49135,-5.701683,-1.137598,
270,2,20.38378,0.625477,-28.8539,-5.774509,-1.095529,
270,2,20.41144,0.8067471,-32.44403,-5.781769,-1.014045,
270,3,21.68961,-1.04932,-1.721007,-6.778016,-5.111262,
270,3,21.71748,-1.189803,-1.860937,-6.687312,-5.120528,
270,3,21.74527,-1.276258,-1.918145,-6.998696,-2.840729,
270,3,21.77257,-1.273545,-1.992048,-7.320687,-1.279848,
270,3,21.80126,-1.287512,-2.034853,-7.31472,-1.278269,
270,3,21.82816,-1.23745,-2.109604,-7.406544,-1.322076,
270,3,21.856,-1.142849,-2.087774,-7.391956,-0.4480152,
270,3,21.88374,-1.056878,-2.083741,-7.301414,0.02546907,
270,3,21.91084,-0.9969966,-1.928709,-7.242108,0.02935604,
270,3,21.93852,-0.8678671,-1.711093,-7.300977,-0.2373961,
270,3,21.96633,-0.7070206,-1.695973,-6.920049,-2.225654,
270,3,21.99367,-0.5282396,-1.944934,-6.718988,-4.45993,
270,3,22.02217,-0.3102045,-2.468914,-7.023854,-4.764979,
270,3,22.0495,-0.09228827,-3.415801,-7.217987,-4.617044,
270,3,22.07714,0.09343745,-4.348589,-7.36781,-4.364241,
270,3,22.10539,0.2382183,-5.426555,-7.437049,-4.021556,
270,3,22.13291,0.4091443,-6.947051,-7.488045,-3.915187,
270,3,22.1604,0.5187508,-8.997244,-7.499952,-3.924765,
270,3,22.18843,0.5116239,-11.2588,-7.455451,-3.988794,
270,3,22.21635,0.4571462,-13.77896,-7.367603,-3.902072,
270,3,22.24361,0.4069933,-16.85386,-7.381875,-3.87616,
270,3,22.27178,0.4052803,-20.37866,-6.892016,-2.906279,
270,3,22.30011,0.3612821,-23.61346,-6.5658,-1.987676,
270,3,22.32662,0.3595914,-26.52259,-6.799498,-2.672868,
270,3,22.35489,0.3717924,-29.13939,-7.310456,-3.694128,
270,3,22.38262,0.5302892,-31.34065,-7.389912,-3.795318,
270,3,22.41035,0.7856037,-33.07959,-7.483977,-3.878826,
90,1,24.71751,-0.4567751,-1.692014,-7.050996,-4.14398,
90,1,24.7446,-0.4664985,-1.69879,-7.049553,-4.163145,
90,1,24.77306,-0.5067044,-1.5853,-7.113344,-4.287889,
90,1,24.80081,-0.5699822,-1.509937,-7.179742,-4.423807,
90,1,24.82776,-0.6296213,-1.477681,-7.224231,-4.555347,
90,1,24.85624,-0.6532124,-1.511476,-7.253926,-4.622066,
90,1,24.88412,-0.6747055,-1.497566,-7.295507,-4.692623,
90,1,24.91162,-0.6575913,-1.530478,-7.244185,-4.639131,
90,1,24.9396,-0.6377537,-1.527886,-7.226873,-4.539255,
90,1,24.96764,-0.6643527,-1.422568,-7.313767,-4.604705,
90,1,24.99548,-0.6672863,-1.317554,-7.406903,-4.635118,
90,1,25.02276,-0.7231969,-1.052695,-7.531547,-4.861562,
90,1,25.05051,-0.74716,-0.316997,-7.551644,-4.927116,
90,1,25.07859,-0.6891437,1.3027,-7.610801,-4.844912,
90,1,25.10615,-0.7115074,3.197412,-7.684031,-4.736922,
90,1,25.13402,-0.7440773,5.254827,-7.67567,-4.662053,
90,1,25.16175,-0.8299683,8.747299,-7.723741,-4.81399,
90,1,25.18894,-0.8846038,11.77395,-7.65765,-5.197648,
90,1,25.21748,-0.8038967,16.19212,-7.745564,-3.002701,
90,1,25.24561,-0.5435348,21.13693,-7.859428,-1.611771,
90,1,25.27197,-0.3604501,26.41364,-8.405139,-3.631583,
90,1,25.30319,-0.2323832,30.62468,-8.027308,-3.579681,
90,2,27.45251,1.557728,-0.5809773,-7.70655,-3.716041,
90,2,27.47802,1.62798,0.856921,-7.56318,-3.930595,
90,2,27.50595,1.577235,2.353001,-7.295054,-4.123972,
90,2,27.53417,1.547014,3.826099,-6.838892,-4.096547,
90,2,27.56201,1.335993,5.925736,-7.112937,-0.7067137,
90,2,27.58949,1.158319,8.086263,-7.15886,-0.4998164,
