Participant,Posture,tCount,Direction,MaxViewingRange,StartVector,EndVector,StartRotation
1,Lying,1,180,44.58406,(-0.06* 0.94* 0.34),(-0.74* 0.66* 0.15),(290.40* 350.20* 0.00)
1,Lying,2,180,83.05631,(-0.10* 0.93* 0.35),(-0.98* 0.09* -0.17),(290.40* 350.20* 0.00)
1,Lying,3,180,220.9938,(-0.08* 0.93* 0.35),(0.71* -0.69* -0.15),(290.40* 350.20* 0.00)
1,Lying,1,225,33.62191,(-0.05* 0.94* 0.34),(-0.50* 0.65* 0.57),(290.40* 350.20* 0.00)
1,Lying,2,225,99.70248,(-0.05* 0.95* 0.31),(-0.81* -0.37* 0.45),(290.40* 350.20* 0.00)
1,Lying,3,225,233.2934,(-0.03* 0.95* 0.31),(0.66* -0.40* -0.63),(290.40* 350.20* 0.00)
1,Lying,1,270,27.22587,(-0.07* 0.93* 0.37),(-0.11* 0.66* 0.75),(290.40* 350.20* 0.00)
1,Lying,2,270,86.6134,(-0.07* 0.94* 0.32),(-0.15* -0.27* 0.95),(290.40* 350.20* 0.00)
1,Lying,3,270,129.1776,(-0.07* 0.93* 0.35),(0.15* -0.31* -0.94),(290.40* 350.20* 0.00)
1,Lying,1,315,329.3049,(-0.05* 0.93* 0.37),(0.28* 0.66* 0.69),(290.40* 350.20* 0.00)
1,Lying,2,315,299.7707,(0.01* 0.93* 0.36),(0.49* 0.20* 0.85),(290.40* 350.20* 0.00)
1,Lying,3,315,120.9528,(-0.02* 0.94* 0.33),(-0.47* -0.26* -0.84),(290.40* 350.20* 0.00)
1,Lying,1,0,335.4391,(-0.03* 0.93* 0.36),(0.38* 0.84* 0.39),(290.40* 350.20* 0.00)
1,Lying,2,0,295.7774,(-0.01* 0.94* 0.33),(0.88* 0.37* 0.29),(290.40* 350.20* 0.00)
1,Lying,3,0,129.3577,(-0.05* 0.93* 0.36),(-0.73* -0.58* -0.35),(290.40* 350.20* 0.00)
1,Lying,1,45,329.3585,(-0.07* 0.95* 0.32),(0.37* 0.93* 0.02),(290.40* 350.20* 0.00)
1,Lying,2,45,258.0651,(-0.04* 0.94* 0.33),(0.79* 0.03* -0.62),(290.40* 350.20* 0.00)
1,Lying,3,45,119.0242,(-0.06* 0.94* 0.34),(-0.68* -0.67* 0.30),(290.40* 350.20* 0.00)
1,Lying,1,90,11.00748,(-0.07* 0.93* 0.35),(-0.04* 0.98* 0.17),(290.40* 350.20* 0.00)
1,Lying,2,90,42.97781,(-0.08* 0.94* 0.33),(0.06* 0.92* -0.39),(290.40* 350.20* 0.00)
1,Lying,3,90,124.2041,(-0.06* 0.95* 0.32),(-0.10* -0.80* 0.59),(290.40* 350.20* 0.00)
1,Lying,1,135,26.7034,(-0.06* 0.95* 0.32),(-0.33* 0.94* -0.06),(290.40* 350.20* 0.00)
1,Lying,2,135,91.45036,(-0.10* 0.92* 0.38),(-0.60* 0.22* -0.77),(290.40* 350.20* 0.00)
1,Lying,3,135,245.6931,(-0.06* 0.94* 0.32),(0.56* -0.60* 0.58),(290.40* 350.20* 0.00)
