Participant,Posture,tCount,Direction,MaxViewingRange
1,Standing,1,45,156.7018
1,Standing,2,45,169.9532
1,Standing,3,45,168.758
1,Standing,1,180,162.6809
1,Standing,2,180,172.2305
1,Standing,3,180,175.3323
1,Standing,1,90,109.1507
1,Standing,2,90,114.5044
1,Standing,3,90,122.9713
1,Standing,1,225,163.8813
1,Standing,2,225,173.2247
1,Standing,3,225,175.3374
1,Standing,1,135,169.7743
1,Standing,2,135,170.6625
1,Standing,3,135,168.9625
1,Standing,1,270,98.30075
1,Standing,2,270,105.8599
1,Standing,3,270,116.6342
1,Standing,1,0,165.316
1,Standing,2,0,160.8166
1,Standing,3,0,170.2988
1,Standing,1,315,137.4425
1,Standing,2,315,140.7063
1,Standing,3,315,140.5184
