range,posture,start,end,
270,Lying,4732486,4732511,
270,Lying,4732486,4732526,
270,Lying,4732486,4732539,
270,Lying,4732486,4732553,
270,Lying,4732486,4732568,
270,Lying,4732486,4732581,
270,Lying,4732486,4732598,
270,Lying,4732486,4732626,
270,Lying,4732486,4732650,
270,Lying,4732486,4732665,
270,Lying,4732486,4732692,
270,Lying,4732486,4732702,
270,Lying,4732486,4732716,
270,Lying,4732486,4732732,
270,Lying,4732486,4732745,
270,Lying,4732486,4732761,
270,Lying,4732486,4732774,
270,Lying,4732486,4732789,
270,Lying,4732486,4732803,
270,Lying,4732486,4732819,
270,Lying,4732486,4732829,
270,Lying,4732486,4732843,
270,Lying,4732486,4732858,
270,Lying,4732486,4732871,
270,Lying,4732486,4732888,
270,Lying,4732486,4732900,
270,Lying,4732486,4732913,
270,Lying,4732486,4732930,
270,Lying,4732486,4732940,
270,Lying,4732486,4732958,
270,Lying,4732486,4732968,
270,Lying,4732486,4732982,
270,Lying,4732486,4732998,
270,Lying,4732486,4733011,
270,Lying,4732486,4733027,
270,Lying,4732486,4733040,
270,Lying,4732486,4733050,
270,Lying,4732486,4733069,
270,Lying,4732486,4733079,
270,Lying,4732486,4733095,
270,Lying,4732486,4733109,
270,Lying,4732486,4733122,
270,Lying,4732486,4733137,
270,Lying,4732486,4733151,
270,Lying,4732486,4733166,
270,Lying,4732486,4733179,
270,Lying,4732486,4733191,
270,Lying,4732486,4733206,
270,Lying,4732486,4733219,
270,Lying,4732486,4733235,
270,Lying,4732486,4733248,
270,Lying,4732486,4733261,
270,Lying,4732486,4733277,
270,Lying,4732486,4733290,
270,Lying,4732486,4733306,
270,Lying,4732486,4733317,
270,Lying,4732486,4733330,
270,Lying,4732486,4733345,
270,Lying,4732486,4733359,
270,Lying,4732486,4733372,
270,Lying,4732486,4733388,
270,Lying,4732486,4733399,
270,Lying,4732486,4733417,
270,Lying,4732486,4733427,
270,Lying,4732486,4733446,
270,Lying,4732486,4733456,
270,Lying,4732486,4733469,
270,Lying,4732486,4733486,
270,Lying,4732486,4733499,
270,Lying,4732486,4733514,
270,Lying,4732486,4733528,
270,Lying,4732486,4733538,
270,Lying,4732486,4733556,
270,Lying,4732486,4733568,
270,Lying,4732486,4733580,
270,Lying,4732486,4733596,
270,Lying,4732486,4733609,
270,Lying,4732486,4733625,
270,Lying,4735013,4735025,
270,Lying,4735013,4735043,
270,Lying,4735013,4735053,
270,Lying,4735013,4735067,
270,Lying,4735013,4735082,
270,Lying,4735013,4735095,
270,Lying,4735013,4735111,
270,Lying,4735013,4735124,
