range,posture,start,end,
45,Standing,5326,5410,
45,Standing,5326,5453,
45,Standing,5326,5484,
45,Standing,5326,5513,
45,Standing,5326,5527,
45,Standing,5326,5541,
45,Standing,5326,5556,
45,Standing,5326,5570,
45,Standing,5326,5586,
45,Standing,5326,5598,
45,Standing,5326,5615,
45,Standing,5326,5626,
45,Standing,5326,5644,
45,Standing,5326,5655,
45,Standing,5326,5671,
45,Standing,5326,5684,
45,Standing,5326,5696,
45,Standing,5326,5712,
45,Standing,5326,5725,
45,Standing,5326,5741,
45,Standing,5326,5753,
45,Standing,5326,5765,
45,Standing,5326,5781,
45,Standing,5326,5793,
45,Standing,5326,5806,
45,Standing,5326,5822,
45,Standing,5326,5834,
45,Standing,5326,5851,
45,Standing,5326,5865,
45,Standing,5326,5876,
45,Standing,5326,5894,
45,Standing,5326,5905,
45,Standing,5326,5922,
45,Standing,5326,5934,
45,Standing,5326,5946,
45,Standing,5326,5962,
45,Standing,5326,5975,
45,Standing,5326,5991,
45,Standing,5326,6003,
45,Standing,5326,6014,
45,Standing,5326,6031,
45,Standing,5326,6043,
45,Standing,5326,6060,
45,Standing,5326,6072,
45,Standing,5326,6084,
45,Standing,5326,6100,
45,Standing,5326,6112,
45,Standing,5326,6129,
45,Standing,5326,6144,
45,Standing,5326,6155,
45,Standing,5326,6172,
45,Standing,5326,6183,
45,Standing,5326,6200,
45,Standing,5326,6212,
45,Standing,5326,6224,
45,Standing,5326,6241,
45,Standing,5326,6253,
45,Standing,5326,6269,
45,Standing,5326,6281,
45,Standing,5326,6293,
45,Standing,5326,6309,
45,Standing,5326,6322,
45,Standing,5326,6334,
45,Standing,5326,6350,
45,Standing,5326,6363,
45,Standing,5326,6379,
45,Standing,5326,6390,
45,Standing,5326,6408,
45,Standing,5326,6422,
45,Standing,7571,7587,
45,Standing,7571,7600,
45,Standing,7571,7612,
45,Standing,7571,7641,
45,Standing,7571,7657,
45,Standing,7571,7681,
45,Standing,7571,7711,
45,Standing,7571,7740,
45,Standing,7571,7754,
45,Standing,7571,7781,
45,Standing,7571,7797,
45,Standing,7571,7814,
45,Standing,7571,7838,
45,Standing,7571,7849,
45,Standing,7571,7866,
45,Standing,7571,7878,
45,Standing,7571,7890,
45,Standing,7571,7907,
45,Standing,7571,7919,
45,Standing,7571,7930,
45,Standing,7571,7947,
45,Standing,7571,7973,
45,Standing,7571,7990,
45,Standing,7571,8004,
45,Standing,7571,8018,
45,Standing,7571,8049,
45,Standing,7571,8071,
45,Standing,7571,8088,
45,Standing,7571,8099,
45,Standing,7571,8112,
45,Standing,7571,8128,
