Participant,Posture,Direction,RangePercentage,ViewingRange,time,HeadRotationAngle,GazingAngle,ShoulderRotationAngle
1,Standing,180,P100,100,10.89434,0,0,0.2697954
1,Standing,180,P100,100,11.00495,0.1519511,0,0.4177785
1,Standing,180,P100,100,11.11548,0.3409232,0,0.4677188
1,Standing,180,P100,100,11.22642,0.3593647,0,0.4092611
1,Standing,180,P100,100,11.33808,0.392669,0,0.3663747
1,Standing,180,P100,100,11.44891,0.6003569,0,0.2940859
1,Standing,180,P100,100,11.55334,0.7595032,0,0.5271187
1,Standing,180,P100,100,11.65756,1.373161,0,0.6966124
1,Standing,180,P100,100,11.76902,2.118864,0,1.229397
1,Standing,180,P100,100,11.8801,3.258225,0,1.84642
1,Standing,180,P100,100,11.99097,5.083034,0,2.778617
1,Standing,180,P100,100,12.10274,6.998127,0,4.658502
1,Standing,180,P100,100,12.21328,9.803995,0,7.006699
1,Standing,180,P100,100,12.32489,12.59498,0,9.623756
1,Standing,180,P100,100,12.43614,15.5939,0,12.09545
1,Standing,180,P100,100,12.54733,18.98698,0,13.71669
1,Standing,180,P100,100,12.65864,22.2887,0,15.95172
1,Standing,180,P100,100,12.76956,25.70844,0,18.53787
1,Standing,180,P100,100,12.88087,28.64734,0,20.42901
1,Standing,180,P100,100,12.99205,31.83666,0,22.81463
1,Standing,180,P100,100,13.10328,36.66367,0,25.0011
1,Standing,180,P100,100,13.21452,41.23837,0,26.6193
1,Standing,180,P100,100,13.32601,45.00117,0,28.26382
1,Standing,180,P100,100,13.43695,49.14778,0,29.76766
1,Standing,180,P100,100,13.54799,52.92283,0,31.3368
1,Standing,180,P100,100,13.65939,56.82034,0,31.93324
1,Standing,180,P100,100,13.77003,61.54273,0,33.32009
1,Standing,180,P100,100,13.88148,66.50507,0,34.68343
1,Standing,180,P100,100,13.99258,70.72863,0,35.401
1,Standing,180,P100,100,14.10402,74.39938,0,35.82168
1,Standing,180,P100,100,14.21506,77.88319,0,36.25611
1,Standing,180,P100,100,14.32626,81.01655,0,36.48645
1,Standing,180,P100,100,14.43775,82.64973,0,36.57314
1,Standing,180,P100,100,14.55134,81.61535,0,36.42033
1,Standing,180,P100,100,14.65294,79.85984,0,35.9541
1,Standing,180,P100,100,14.75502,78.52111,0,35.56748
1,Standing,180,P100,100,14.86721,77.90996,0,35.2663
1,Standing,180,P100,100,14.97887,77.93952,0,35.13376
1,Standing,180,P100,100,15.08975,78.26543,0,35.09002
1,Standing,180,P100,100,15.20085,78.60655,0,35.14608
1,Standing,180,P100,100,15.31209,79.03489,0,35.17741
1,Standing,180,P100,100,15.42288,80.21696,0,35.19428
1,Standing,180,P100,100,15.53413,80.43343,0,35.31074
1,Standing,180,P100,100,15.64552,80.05193,0,35.32375
1,Standing,180,P100,100,15.75661,79.63872,0,35.26891
1,Standing,180,P100,100,15.86752,79.87171,0,35.21748
1,Standing,180,P100,100,15.97914,80.32468,0,35.17672
1,Standing,180,P100,100,16.08979,80.61502,0,35.15422
1,Standing,180,P100,100,16.20137,80.65856,0,35.25034
1,Standing,180,P100,100,16.31203,80.7841,0,35.23245
1,Standing,180,P100,100,16.42334,80.83869,0,35.09856
1,Standing,180,P100,100,16.53445,80.81471,0,35.08145
1,Standing,180,P100,100,16.64545,80.62668,0,34.82861
1,Standing,180,P100,100,16.75674,80.4126,0,34.68935
1,Standing,180,P100,100,16.8674,80.39964,0,34.5694
1,Standing,180,P100,100,16.97901,80.70908,0,34.56877
1,Standing,180,P100,100,17.08993,81.18768,0,34.65874
