Participant,Posture,Direction,RangePercentage,ViewingRange,time,HeadRotationAngle,GazingAngle,ShoulderRotationAngle
2,Sitting,135,P50,50,1.046201,0,0,0
2,Sitting,135,P50,50,1.170827,0,0,0
2,Sitting,135,P50,50,1.284163,0,0,0
2,Sitting,135,P50,50,1.394312,0,0,0
2,Sitting,135,P50,50,1.505805,0,0,0
2,Sitting,135,P50,50,1.618259,4.385259,0,0
2,Sitting,135,P50,50,1.728054,11.0466,0,0
2,Sitting,135,P50,50,1.830741,12.98578,0,0
2,Sitting,135,P50,50,1.935958,18.58648,0,0
2,Sitting,135,P50,50,2.048475,24.49773,0,0
2,Sitting,135,P50,50,2.151493,29.56241,0,0
2,Sitting,135,P50,50,2.271313,35.87189,0,0
2,Sitting,135,P50,50,2.38139,38.91098,0,0
2,Sitting,135,P50,50,2.495029,42.51276,0,0
2,Sitting,135,P50,50,2.608432,45.66534,0,0
2,Sitting,135,P50,50,2.719259,46.79865,0,0
2,Sitting,0,P75,75,9.949134,0,0,0
2,Sitting,0,P75,75,10.06679,0,0,0
2,Sitting,0,P75,75,10.17122,0,0,0
2,Sitting,0,P75,75,10.28363,0,0,0
2,Sitting,0,P75,75,10.3946,0,0,0
2,Sitting,0,P75,75,10.50987,0,0,0
2,Sitting,0,P75,75,10.61719,0,0,0
2,Sitting,0,P75,75,10.72736,4.44065,0,0
2,Sitting,0,P75,75,10.84411,6.904585,0,0
2,Sitting,0,P75,75,10.94867,8.08891,0,0
2,Sitting,0,P75,75,11.06093,12.25797,0,0
2,Sitting,0,P75,75,11.17215,17.44005,0,0
2,Sitting,0,P75,75,11.28303,22.21368,0,0
2,Sitting,0,P75,75,11.39422,26.41125,0,0
2,Sitting,0,P75,75,11.50517,29.01007,0,0
2,Sitting,0,P75,75,11.60927,32.0201,0,0
2,Sitting,0,P75,75,11.71473,38.41585,0,0
2,Sitting,0,P75,75,11.82492,44.61274,0,0
2,Sitting,0,P75,75,11.93587,52.00436,0,0
2,Sitting,0,P75,75,12.04685,58.00087,0,0
2,Sitting,0,P75,75,12.15788,61.00077,0,0
2,Sitting,0,P75,75,12.26816,64.40066,0,0
2,Sitting,0,P75,75,12.37162,68.80054,0,0
2,Sitting,225,P25,25,21.27516,0,0,0
2,Sitting,225,P25,25,21.38096,0,0,0
2,Sitting,225,P25,25,21.49066,0,0,0
2,Sitting,225,P25,25,21.60268,0,0,0
2,Sitting,225,P25,25,21.71271,0,0,0
2,Sitting,225,P25,25,21.82653,1.077018,0,0
2,Sitting,225,P25,25,21.93731,3.279785,0,0
2,Sitting,225,P25,25,22.03846,4.684876,0,0
2,Sitting,225,P25,25,22.1441,5.94376,0,0
2,Sitting,225,P25,25,22.25536,8.366518,0,0
2,Sitting,225,P25,25,22.36599,10.48517,0,0
2,Sitting,225,P25,25,22.47898,13.0323,0,0
2,Sitting,225,P25,25,22.58871,15.53173,0,0
2,Sitting,225,P25,25,22.6998,19.14422,0,0
2,Sitting,315,P50,50,30.25504,0,0,0
2,Sitting,315,P50,50,30.36751,0,0,0
2,Sitting,315,P50,50,30.48363,0,0,0
2,Sitting,315,P50,50,30.58777,0,0,0
2,Sitting,315,P50,50,30.69899,0,0,0
2,Sitting,315,P50,50,30.81354,0,0,0
2,Sitting,315,P50,50,30.92162,1.979223,0,0
2,Sitting,315,P50,50,31.03312,5.940659,0,0
2,Sitting,315,P50,50,31.14434,8.194841,0,0
2,Sitting,315,P50,50,31.24678,11.15293,0,0
2,Sitting,315,P50,50,31.35179,16.84775,0,0
2,Sitting,315,P50,50,31.46274,19.95554,0,0
2,Sitting,315,P50,50,31.57518,23.13495,0,0
2,Sitting,315,P50,50,31.68642,26.93677,0,0
2,Sitting,315,P50,50,31.79725,32.22788,0,0
2,Sitting,315,P50,50,31.90909,34.61852,0,0
2,Sitting,315,P50,50,32.01096,37.53834,0,0
2,Sitting,315,P50,50,32.11609,40.19954,0,0
2,Sitting,315,P50,50,32.22746,42.74294,0,0
2,Sitting,315,P50,50,32.33903,44.51045,0,0
2,Sitting,180,P100,100,3.72052,0,0,0
2,Sitting,180,P100,100,3.843363,0,0,0
2,Sitting,180,P100,100,3.94874,0,0,0
2,Sitting,180,P100,100,4.05277,0,0,0
2,Sitting,180,P100,100,4.158337,0,0,0
2,Sitting,180,P100,100,4.270531,8.601265,0,0
2,Sitting,180,P100,100,4.383389,16.59914,0,0
2,Sitting,180,P100,100,4.491384,24.62819,0,0
2,Sitting,180,P100,100,4.604697,35.02662,0,0
2,Sitting,180,P100,100,4.716698,45.41386,0,0
2,Sitting,180,P100,100,4.834647,53.61103,0,0
2,Sitting,180,P100,100,4.938151,62.00464,0,0
2,Sitting,180,P100,100,5.06422,69.00336,0,0
2,Sitting,180,P100,100,5.176078,73.00267,0,0
2,Sitting,180,P100,100,5.296505,79.0017,0,0
2,Sitting,180,P100,100,5.407854,86.00061,0,0
2,Sitting,180,P100,100,5.51889,92.99956,0,0
2,Sitting,180,P100,100,5.726733,106.9973,0,0
2,Sitting,180,P100,100,5.837626,113.9961,0,0
2,Sitting,180,P100,100,5.950603,120.9948,0,0
2,Sitting,180,P100,100,6.063412,127.9932,0,0
2,Sitting,180,P100,100,6.170441,127.9932,0,0
2,Sitting,180,P100,100,6.281635,125.9724,0,0
2,Sitting,180,P100,100,6.382639,119.7637,0,0
2,Sitting,180,P100,100,6.489983,113.3835,0,0
2,Sitting,180,P100,100,6.601644,112.7882,0,0
2,Sitting,180,P100,100,6.71831,106.2075,0,0
2,Sitting,45,P100,100,14.03201,0,0,0
2,Sitting,45,P100,100,14.15009,0,0,0
2,Sitting,45,P100,100,14.25659,0,0,0
2,Sitting,45,P100,100,14.36706,0,0,0
2,Sitting,45,P100,100,14.47103,0.199792,0,0
2,Sitting,45,P100,100,14.57383,4.204586,0,0
2,Sitting,45,P100,100,14.68456,9.031461,0,0
2,Sitting,45,P100,100,14.79581,12.13478,0,0
2,Sitting,45,P100,100,14.90722,17.23519,0,0
2,Sitting,45,P100,100,15.01907,21.24441,0,0
2,Sitting,45,P100,100,15.12939,24.98863,0,0
2,Sitting,45,P100,100,15.23464,29.52676,0,0
2,Sitting,45,P100,100,15.33773,35.9228,0,0
2,Sitting,45,P100,100,15.44812,37.82192,0,0
2,Sitting,45,P100,100,15.56421,38.10534,0,0
2,Sitting,45,P100,100,15.68863,38.10534,0,0
2,Sitting,45,P100,100,15.80024,38.10534,0,0
2,Sitting,45,P100,100,15.90938,48.33699,0,0
2,Sitting,45,P100,100,16.0145,51.77455,0,0
2,Sitting,45,P100,100,16.11635,56.498,0,0
2,Sitting,45,P100,100,16.22631,58.84098,0,0
2,Sitting,45,P100,100,16.33725,60.36509,0,0
2,Sitting,45,P100,100,16.44838,64.70279,0,0
2,Sitting,45,P100,100,16.56035,68.2541,0,0
2,Sitting,45,P100,100,16.67104,71.71241,0,0
2,Sitting,45,P100,100,16.77385,75.03642,0,0
2,Sitting,45,P100,100,16.88082,77.8203,0,0
2,Sitting,45,P100,100,16.99166,81.21024,0,0
2,Sitting,45,P100,100,17.10167,85.01977,0,0
2,Sitting,45,P100,100,17.21164,88.00154,0,0
2,Sitting,45,P100,100,17.32307,92.12566,0,0
2,Sitting,45,P100,100,17.43414,93.94736,0,0
2,Sitting,45,P100,100,17.5365,95.75734,0,0
2,Sitting,45,P100,100,17.64323,96.87543,0,0
2,Sitting,45,P100,100,17.75311,97.9911,0,0
2,Sitting,45,P100,100,17.86466,98.57528,0,0
2,Sitting,0,P75,75,25.32297,0,0,0
