time, Pitch, Yaw, Roll
1.474918, 1.409588, 0.8074558, 1.721583
1.474918, 1.362431, 0.8629809, 1.674562
1.474918, 1.318192, 0.9037398, 1.628948
1.474918, 1.273646, 0.9381608, 1.588808
1.474918, 1.236856, 0.9685385, 1.568104
1.474918, 1.216597, 0.9831765, 1.576691
1.474918, 1.224133, 0.9817823, 1.614709
1.474918, 1.25445, 0.9606267, 1.669998
1.474918, 1.282374, 0.9208986, 1.711093
1.474918, 1.278247, 0.884702, 1.710864
1.474918, 1.243325, 0.8609378, 1.674211
1.474918, 1.202033, 0.8497278, 1.624617
1.474918, 1.175864, 0.8451096, 1.581153
1.474918, 1.164157, 0.839068, 1.545604
1.474918, 1.158596, 0.8211529, 1.511031
1.474918, 1.151311, 0.7979487, 1.472729
1.474918, 1.15216, 0.7790887, 1.443336
1.474918, 1.171028, 0.7610474, 1.432858
1.474918, 1.198773, 0.7472962, 1.439399
1.474918, 1.237646, 0.7409853, 1.462596
1.474918, 1.273185, 0.7462481, 1.487932
1.474918, 1.304463, 0.7576976, 1.514395
1.474918, 1.334569, 0.7679582, 1.538497
1.474918, 1.364727, 0.7760689, 1.562352
1.474918, 1.387903, 0.7828471, 1.58041
1.474918, 1.398158, 0.7880787, 1.586466
1.474918, 1.401234, 0.7883269, 1.58659
1.474918, 1.395777, 0.7903101, 1.588069
1.474918, 1.394654, 0.7991739, 1.604862
1.474918, 1.391705, 0.8016186, 1.630509
1.474918, 1.389312, 0.7969672, 1.659418
1.474918, 1.383808, 0.7818466, 1.687484
1.474918, 1.363436, 0.7592455, 1.704217
1.474918, 1.33662, 0.7249676, 1.714635
1.474918, 1.308208, 0.6807005, 1.723969
1.474918, 1.276869, 0.6348901, 1.733478
1.474918, 1.240962, 0.5733491, 1.740576
1.474918, 1.216597, 0.4969283, 1.748428
1.474918, 1.187621, 0.4196478, 1.751001
1.474918, 1.171028, 0.3420692, 1.759697
1.474918, 1.141582, 0.2866737, 1.758251
1.474918, 1.112587, 0.2517883, 1.750554
1.474918, -1.110475, 0.2167048, 1.749995
1.474918, -1.132979, 0.1802258, 1.756692
1.474918, -1.186137, 0.1412742, 1.776191
1.474918, -1.276256, 0.1119058, 1.800811
1.474918, -1.417065, 0.1027921, 1.817685
1.474918, -1.639486, 0.1219466, 1.837708
1.474918, -1.950236, 0.1631294, 1.865086
1.474918, -2.354846, 0.2193969, 1.900943
1.474918, -2.830961, 0.2887141, 1.966624
1.474918, -3.400531, 0.3779418, 2.052426
1.474918, -4.011759, 0.4601268, 2.172858
1.474918, -4.673531, 0.5424856, 2.303928
1.474918, -5.46325, 0.6428534, 2.412407
1.474918, -6.198054, 0.7281993, 2.517462
1.474918, -7.176328, 0.8513383, 2.60902
1.474918, -8.155382, 0.9532654, 2.72448
1.474918, -9.177081, 1.029646, 2.841107
1.474918, -10.15381, 1.068445, 2.961608
1.503767, -11.01455, 1.073379, 3.086101
