time, Pitch, Yaw, Roll
3.359536, 1.493052, -9.512316, 1.911108
3.381457, 1.501026, -9.575693, 1.932088
3.407132, 1.510513, -9.632393, 1.94662
3.434308, 1.524569, -9.685498, 1.964733
3.462188, 1.530846, -9.73369, 1.976551
3.491351, 1.538878, -9.772015, 1.986723
3.5186, 1.54535, -9.800785, 1.989775
3.545746, 1.550029, -9.817264, 1.989381
3.574781, 1.553308, -9.821448, 1.991839
3.60217, 1.554819, -9.819887, 1.993607
3.630365, 1.556077, -9.816362, 1.993313
3.65769, 1.556203, -9.808687, 1.99292
3.685306, 1.557208, -9.800946, 1.993411
3.713508, 1.557711, -9.795327, 1.992232
3.740898, 1.557083, -9.789103, 1.987314
3.769308, 1.558967, -9.78215, 1.98564
3.796628, 1.561475, -9.774067, 1.987216
3.825766, 1.562352, -9.766398, 1.985344
3.854722, 1.560096, -9.759109, 1.979717
3.881873, 1.559594, -9.749816, 1.978827
3.909246, 1.560347, -9.736377, 1.979124
3.935956, 1.55356, -9.716121, 1.967122
3.9616, 1.546363, -9.683387, 1.94883
3.990719, 1.540022, -9.641207, 1.926712
4.021883, 1.529311, -9.589458, 1.908238
4.046289, 1.508828, -9.539453, 1.882632
4.073473, 1.490822, -9.479733, 1.864037
4.100498, 1.468204, -9.412375, 1.842813
4.127435, 1.439399, -9.34277, 1.812509
4.15515, 1.409033, -9.268661, 1.777072
4.184888, 1.394935, -9.197828, 1.75502
4.210909, 1.38748, -9.13708, 1.736636
4.240513, 1.378708, -9.081297, 1.719422
4.26375, 1.371307, -9.039137, 1.702494
4.298254, 1.371164, -9.013714, 1.691885
4.318303, 1.369737, -8.996979, 1.68342
4.344524, 1.365301, -8.991911, 1.67573
4.372355, 1.358979, -8.994227, 1.668122
4.401236, 1.35176, -9.00045, 1.660125
4.430331, 1.348136, -9.004379, 1.653392
4.458742, 1.344939, -9.005273, 1.644372
4.487447, 1.343338, -9.002677, 1.638292
4.514341, 1.345376, -8.998443, 1.635422
4.5416, 1.346539, -8.994991, 1.633147
4.570144, 1.347701, -8.992305, 1.631828
4.598644, 1.349732, -8.991693, 1.630389
4.626383, 1.349152, -8.992108, 1.629548
4.654798, 1.350167, -8.997634, 1.632308
4.681881, 1.353063, -9.002677, 1.636858
4.709073, 1.354508, -9.003878, 1.636618
4.737678, 1.360562, -9.004531, 1.633027
4.764741, 1.368736, -9.006452, 1.630389
4.79233, 1.370308, -9.007717, 1.629188
4.820087, 1.367019, -9.012601, 1.628708
4.847906, 1.365014, -9.017571, 1.630509
4.875998, 1.365301, -9.021187, 1.631349
4.90413, 1.362287, -9.023386, 1.629188
4.931904, 1.363866, -9.023603, 1.631229
4.959869, 1.365157, -9.025455, 1.629068
4.9872, 1.368021, -9.023408, 1.626062
5.01479, 1.372733, -9.021645, 1.626182
5.042782, 1.377714, -9.023888, 1.624376
5.071327, 1.381827, -9.026674, 1.622809
5.098691, 1.382393, -9.028524, 1.622689
5.127708, 1.380977, -9.030068, 1.624015
5.157931, 1.380552, -9.032766, 1.624738
5.184397, 1.380268, -9.03468, 1.624858
5.212051, 1.38041, -9.036812, 1.62558
5.240396, 1.38041, -9.039724, 1.625821
5.268724, 1.383525, -9.042962, 1.624858
5.296363, 1.387057, -9.045005, 1.624015
5.323759, 1.388749, -9.045156, 1.625821
5.352314, 1.389594, -9.046221, 1.625219
5.379974, 1.392267, -9.045722, 1.622447
5.407526, 1.392127, -9.045853, 1.622689
5.435555, 1.392689, -9.047242, 1.628227
5.463244, 1.394233, -9.04898, 1.628828
5.490484, 1.397878, -9.046309, 1.626904
5.519085, 1.40486, -9.043484, 1.626062
5.546503, 1.411392, -9.041854, 1.624256
5.574769, 1.41347, -9.041898, 1.624497
5.60243, 1.411253, -9.042093, 1.626303
5.630171, 1.410004, -9.041311, 1.628347
5.657265, 1.409727, -9.041181, 1.630029
5.685585, 1.410004, -9.039942, 1.630989
5.713494, 1.411253, -9.038443, 1.633027
5.741425, 1.414439, -9.03618, 1.633507
5.769469, 1.418583, -9.034006, 1.632908
5.796934, 1.424503, -9.033375, 1.632308
5.824722, 1.429987, -9.033745, 1.630989
5.852964, 1.432175, -9.033593, 1.631109
5.87979, 1.431765, -9.032897, 1.633267
5.907528, 1.431081, -9.033419, 1.634105
5.935334, 1.428207, -9.033288, 1.632068
5.963541, 1.428618, -9.030917, 1.634704
5.990775, 1.430534, -9.03083, 1.63614
6.019277, 1.434769, -9.030743, 1.634704
6.046824, 1.438855, -9.029807, 1.634704
6.074119, 1.440486, -9.029938, 1.636379
6.103024, 1.441029, -9.028958, 1.636977
6.131339, 1.442522, -9.026587, 1.633626
6.158181, 1.444014, -9.022364, 1.633986
6.186006, 1.445368, -9.019183, 1.638053
6.214111, 1.447668, -9.0167, 1.639247
6.241611, 1.451718, -9.012776, 1.639605
6.269391, 1.458576, -9.009353, 1.636738
6.296991, 1.467271, -9.00728, 1.634704
6.323601, 1.470735, -9.00475, 1.633507
6.351556, 1.471799, -9.002633, 1.634105
6.379442, 1.471932, -9.000888, 1.635781
6.407781, 1.472065, -8.999556, 1.636977
6.435561, 1.470868, -8.99427, 1.636858
6.464089, 1.474854, -8.989944, 1.639605
6.492203, 1.479755, -8.982007, 1.640321
6.519062, 1.486089, -8.97045, 1.641514
6.546762, 1.496979, -8.956861, 1.644134
6.574428, 1.509995, -8.941911, 1.645205
6.60294, 1.522128, -8.923435, 1.646276
6.630477, 1.530207, -8.900885, 1.649838
6.657506, 1.537734, -8.875998, 1.653866
6.685941, 1.553434, -8.845112, 1.657412
6.713434, 1.568977, -8.804955, 1.659536
6.74141, 1.585356, -8.759571, 1.663658
6.770109, 1.611312, -8.705675, 1.662834
6.796373, 1.644967, -8.637245, 1.662952
6.824267, 1.683188, -8.556714, 1.663658
6.852903, 1.721128, -8.456169, 1.661422
6.880082, 1.757137, -8.336469, 1.652682
6.90823, 1.794278, -8.200852, 1.641037
6.935664, 1.843556, -8.045593, 1.630509
6.963547, 1.898264, -7.870831, 1.616042
6.992007, 1.9434, -7.687608, 1.603887
7.019098, 1.990168, -7.49004, 1.594832
7.046868, 2.034228, -7.278368, 1.567355
7.074903, 2.083938, -7.059275, 1.541293
7.102529, 2.136525, -6.83538, 1.515557
7.130746, 2.181488, -6.610227, 1.487274
7.157535, 2.225983, -6.390006, 1.468737
7.186165, 2.270986, -6.170156, 1.447533
7.213905, 2.310121, -5.952065, 1.418859
7.241677, 2.358168, -5.748219, 1.390579
7.269603, 2.413381, -5.555555, 1.376719
7.296905, 2.48601, -5.363301, 1.363723
7.32463, 2.555199, -5.17468, 1.340421
7.352867, 2.626219, -4.999162, 1.320121
7.380298, 2.705301, -4.829699, 1.299654
7.408244, 2.782208, -4.666526, 1.286792
7.436251, 2.847989, -4.50663, 1.273032
7.463692, 2.926835, -4.341809, 1.266868
7.491299, 3.009538, -4.162878, 1.253826
7.518847, 3.083055, -3.967583, 1.23733
7.546964, 3.153991, -3.763328, 1.210792
7.5755, 3.224279, -3.550382, 1.189761
7.602671, 3.297881, -3.324194, 1.164157
7.630839, 3.371911, -3.086799, 1.134187
7.658147, 3.441337, -2.835382, 1.10429
7.686181, 3.511455, -2.56796, 1.067162
7.714231, 3.579382, -2.293881, 1.027173
7.741552, 3.641961, -2.017806, 0.9803861
7.769948, 3.700734, -1.748764, 0.9470872
7.797314, 3.768059, -1.478035, 0.9082754
7.825822, 3.838441, -1.20431, 0.8636609
7.853002, 3.908058, -0.9329317, 0.81781
7.880552, 3.980888, -0.6708556, 0.774302
7.908075, 4.057965, -0.4092611, 0.7351527
7.943097, 4.114136, -0.1582588, 0.6974546
7.966587, 4.153364, 0.1027921, 0.6641131
7.994225, 4.189327, 0.3505445, 0.63025
8.021917, 4.22466, 0.5619739, 0.5947903
8.048221, 4.253076, 0.7631016, 0.5668277
8.075362, 4.280845, 0.9589957, 0.5450047
8.1029, 4.328843, 1.154366, 0.5135812
8.130214, 4.370091, 1.33896, 0.4881886
8.157842, 4.4038, 1.519812, 0.4685547
8.185935, 4.427043, 1.698005, 0.453703
8.21409, 4.442899, 1.877636, 0.4396856
8.241647, 4.454917, 2.065165, 0.429328
8.269618, 4.447569, 2.266759, 0.4087828
8.296794, 4.428813, 2.476307, 0.3830841
