time, Pitch, Yaw, Roll
4.050396, -2.409891, -3.789099, 0.2914124
4.073099, -2.416299, -3.791631, 0.2846186
4.100952, -2.404443, -3.799472, 0.2804634
4.129563, -2.409241, -3.811307, 0.2839303
4.157969, -2.410297, -3.827969, 0.2866737
4.185598, -2.459732, -3.816442, 0.302612
4.211725, -2.477255, -3.804056, 0.272681
4.238576, -2.465454, -3.808481, 0.2741124
4.267386, -2.409647, -3.814902, 0.2811602
4.294531, -2.362563, -3.816698, 0.2804634
4.324097, -2.368603, -3.820544, 0.2880355
4.350231, -2.38261, -3.82326, 0.2993615
4.378335, -2.444646, -3.820237, 0.3045456
4.406788, -2.44096, -3.821108, 0.2934199
4.434224, -2.438553, -3.826127, 0.2920831
4.462088, -2.380555, -3.832876, 0.2993615
4.49011, -2.321362, -3.822901, 0.3039024
4.517356, -2.326163, -3.818032, 0.3051875
4.549053, -2.335065, -3.814029, 0.3058279
4.572942, -2.314607, -3.804931, 0.2967354
4.600452, -2.29499, -3.793541, 0.3032579
4.628272, -2.291064, -3.794264, 0.3071049
4.656355, -2.280017, -3.804211, 0.3134116
4.684029, -2.259061, -3.811873, 0.3171355
4.712784, -2.235284, -3.818493, 0.3262592
4.740525, -2.218409, -3.82162, 0.332791
4.76898, -2.1974, -3.824591, 0.3409232
4.796329, -2.161389, -3.822747, 0.3522151
4.823529, -2.114426, -3.812335, 0.3609945
4.851356, -2.064596, -3.795502, 0.3711503
4.879693, -2.021488, -3.778905, 0.3774237
4.907075, -1.992429, -3.764108, 0.3830841
4.934973, -1.978728, -3.751707, 0.3921704
4.964385, -1.964932, -3.741463, 0.3946573
4.990935, -1.940679, -3.739264, 0.3951527
5.017914, -1.923154, -3.739474, 0.3971285
5.04603, -1.91663, -3.741934, 0.3986039
5.073561, -1.917753, -3.744393, 0.4005627
5.101177, -1.923866, -3.746379, 0.4010509
5.129514, -1.929757, -3.748887, 0.4020255
5.156856, -1.92925, -3.75369, 0.4020255
5.185432, -1.933303, -3.754628, 0.403483
5.213702, -1.941889, -3.757183, 0.4039677
5.239911, -1.943198, -3.759996, 0.4039677
5.269328, -1.933809, -3.76416, 0.4029978
5.295849, -1.921525, -3.766397, 0.4025119
5.323711, -1.916017, -3.76546, 0.4015385
5.352064, -1.924069, -3.762911, 0.4025119
5.378478, -1.929453, -3.76338, 0.4005627
5.406573, -1.933708, -3.763744, 0.3986039
5.435183, -1.941687, -3.767852, 0.4010509
5.462513, -1.947022, -3.776158, 0.4020255
5.491223, -1.948027, -3.780874, 0.4020255
5.525928, -1.952242, -3.784859, 0.4020255
5.546729, -1.958347, -3.788169, 0.4015385
5.573384, -1.953444, -3.787859, 0.4005627
5.600883, -1.940175, -3.784342, 0.4005627
5.628694, -1.941889, -3.783979, 0.4010509
5.656882, -1.949634, -3.784394, 0.4039677
5.68532, -1.953745, -3.784704, 0.4029978
5.713298, -1.945815, -3.785273, 0.3995845
5.74003, -1.938964, -3.787807, 0.3986039
5.76975, -1.938459, -3.791114, 0.3986039
5.800973, -1.941486, -3.794109, 0.3981127
5.828933, -1.94491, -3.796173, 0.3981127
5.85551, -1.951138, -3.797771, 0.3986039
5.883245, -1.954446, -3.797565, 0.3995845
5.911051, -1.952041, -3.796791, 0.4000739
5.936404, -1.95164, -3.796843, 0.3990945
5.965288, -1.955347, -3.797513, 0.3981127
5.994225, -1.952142, -3.799782, 0.3981127
6.022202, -1.939065, -3.803644, 0.3946573
6.049897, -1.928641, -3.807041, 0.393167
6.076789, -1.928235, -3.809817, 0.3936644
6.10336, -1.934518, -3.81141, 0.3956476
6.131699, -1.937247, -3.811616, 0.3951527
6.159684, -1.938257, -3.809663, 0.3946573
6.187182, -1.94199, -3.807966, 0.3961419
6.212941, -1.946218, -3.808275, 0.3951527
6.238453, -1.945413, -3.807709, 0.3941611
6.267184, -1.939368, -3.806115, 0.3941611
6.294235, -1.939973, -3.80313, 0.3936644
6.322332, -1.937752, -3.800658, 0.3941611
6.350485, -1.930568, -3.795553, 0.392669
6.37792, -1.928235, -3.791114, 0.3921704
6.406212, -1.93067, -3.785325, 0.3946573
6.434816, -1.926915, -3.777972, 0.3936644
6.462805, -1.909264, -3.764212, 0.3876539
6.490383, -1.89093, -3.74826, 0.386643
6.518969, -1.874611, -3.727043, 0.386643
6.546575, -1.859937, -3.701316, 0.3871488
6.573698, -1.832162, -3.660195, 0.3886621
6.602168, -1.793624, -3.597116, 0.4025119
6.629589, -1.708575, -3.493175, 0.429328
6.657259, -1.591761, -3.350242, 0.4343124
6.685202, -1.462596, -3.168853, 0.4471871
6.712998, -1.2874, -2.940647, 0.4618246
6.741115, -1.079015, -2.666604, 0.4639383
6.768944, -0.8566085, -2.359828, 0.464781
6.796192, -0.5951191, -2.012465, 0.4776538
6.824111, -0.3316129, -1.63626, 0.4731261
6.852698, -0.132704, -1.250544, 0.4776538
6.880109, 0.2046302, -0.8536337, 0.4881886
6.908528, 0.3986039, -0.4374548, 0.5082192
6.935062, 0.6208661, 0, 0.5326577
6.965512, 0.8711056, 0.4224361, 0.5457222
6.990857, 1.100918, 0.8654715, 0.55778
7.017715, 1.303713, 1.318192, 0.5546138
7.045969, 1.483321, 1.779933, 0.5446455
7.074137, 1.630749, 2.235459, 0.5348573
7.101825, 1.770894, 2.706097, 0.5188877
7.129979, 1.947122, 3.179831, 0.4813265
7.157207, 2.112852, 3.655645, 0.4652019
7.186117, 2.264858, 4.126731, 0.4334104
7.213851, 2.381377, 4.568661, 0.3763854
7.24106, 2.477334, 4.986567, 0.3380413
7.26911, 2.582022, 5.360085, 0.3006659
7.296434, 2.662416, 5.666833, 0.2533378
7.324066, 2.694208, 5.881866, 0.2027088
7.352696, 2.685621, 6.026134, 0.166689
7.380654, 2.701971, 6.11869, 0.1545051
7.40845, 2.750579, 6.198465, 0.1480375
7.435221, 2.777772, 6.274386, 0.1341704
7.462605, 2.781786, 6.388041, 0.1312212
7.4912, 2.799392, 6.507708, 0.1065312
7.518652, 2.805051, 6.606013, 0.07132626
7.547074, 2.802118, 6.651072, 0
7.574991, 2.829093, 6.615447, -0.04423466
7.602247, 2.818765, 6.514574, -0.07912937
7.631011, 2.756266, 6.36011, -0.09891172
7.657363, 2.650775, 6.125864, -0.1312212
7.685622, 2.501237, 5.818946, -0.1607126
7.714117, 2.308086, 5.419746, -0.1780411
7.741313, 2.147216, 4.943438, -0.2065338
